ID Cámara,Tipo,Ubicación,same_as_wikidata_barrio,Resolución,Zoom Optico,Año Adquisición
CAM101,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2020
CAM102,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM103,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM104,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM105,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2015
CAM106,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2020
CAM107,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2020
CAM108,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2020
CAM109,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM110,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2020
CAM111,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM112,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM113,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM114,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM115,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM116,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM117,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2020
CAM118,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM119,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM120,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM121,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM122,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1920x1080,40x,2022
CAM123,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM124,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM125,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM126,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM127,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM128,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM129,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM130,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM131,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM132,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM133,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM134,DOMO,Gran Vía,https://wikidata.org/entity/Q1324163,1280x720,18x,2015
CAM201,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM202,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM203,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM204,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM205,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM206,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM207,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM208,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM209,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM210,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM211,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM212,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM213,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM214,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM215,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM216,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM217,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM218,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM219,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM220,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM221,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM222,FIJA,Centro,https://wikidata.org/entity/Q1763376,1920x1080,0x,2015
CAM223,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,40x,2020
CAM224,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM225,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM226,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM227,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM228,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM229,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM230,DOMO,Centro,https://wikidata.org/entity/Q1763376,1920x1080,40x,2020
CAM231,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM232,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM233,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM234,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM235,DOMO,Centro,https://wikidata.org/entity/Q1763376,1280x720,18x,2015
CAM301,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM302,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM303,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM304,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM305,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM306,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM307,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM308,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM309,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM310,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM311,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM312,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM313,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM314,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,30x,2016
CAM315,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,18x,2016
CAM316,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,18x,2016
CAM317,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,18x,2016
CAM318,DOMO,plaza mayor,https://wikidata.org/entity/Q17418423,1280x720,18x,2016
