TITLE,NEIGHBORHOOD,CITY,SQUARE METERS,NUM OF ROOMS,STREET NAME,ADDRESS,STREET NUM,DISTRICT CODE,DISTRICT,RENT PRICE,RENT PRICE BY SQ METER,RENT BY ROOM,ENERGY CERTIFICATE
"Piso en venta en calle de Godella, 64",SAN CRISTOBAL,Madrid,64,2,Calle de Godella,Calle de Godella 64,64,21,BARAJAS,471,7,235,D
Piso en venta en calle de la del Manojo de Rosas,LOS ANGELES,Madrid,70,3,Calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,,21,BARAJAS,666,9,222,
"Piso en venta en calle del Talco, 68",SAN ANDRES,Madrid,94,2,Calle del Talco,Calle del Talco 68,68,21,BARAJAS,722,7,361,
Piso en venta en calle Pedro Jiménez,SAN ANDRES,Madrid,64,2,Calle Pedro Jiménez,Calle Pedro Jiménez,,21,BARAJAS,583,9,291,
Piso en venta en carretera de Villaverde a Vallecas,LOS ROSALES,Madrid,108,2,Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,,21,BARAJAS,1094,10,547,
Piso en venta en geologia,SAN ANDRES,Madrid,126,4,geologia,geologia,,21,BARAJAS,901,7,225,
Piso en venta en avenida Real de Pinto,SAN ANDRES,Madrid,120,5,Avenida Real de Pinto,Avenida Real de Pinto,,21,BARAJAS,884,7,176,F
Piso en venta en San Andrés,VILLAVERDE,Madrid,125,3,,,,21,BARAJAS,912,7,304,
Piso en venta en Butarque,VILLAVERDE,Madrid,84,3,,,,21,BARAJAS,954,11,318,F
Piso en venta en calle de Martinez Oviol,LOS ROSALES,Madrid,85,2,Calle de Martinez Oviol,Calle de Martinez Oviol,,21,BARAJAS,672,7,336,
Piso en venta en De la Plata - Villaverde,SAN ANDRES,Madrid,69,2,De la Plata - Villaverde,De la Plata - Villaverde,,21,BARAJAS,617,8,308,
Piso en venta en Butarque,VILLAVERDE,Madrid,122,3,,,,21,BARAJAS,1058,8,352,E
"Piso en venta en calle de la Unanimidad, 67",LOS ROSALES,Madrid,123,3,Calle de la Unanimidad,Calle de la Unanimidad 67,67,21,BARAJAS,901,7,300,D
"Piso en venta en calle de Anoeta, 63",LOS ANGELES,Madrid,109,3,Calle de Anoeta,Calle de Anoeta 63,63,21,BARAJAS,933,8,311,E
Piso en venta en calle GODELLA,SAN CRISTOBAL,Madrid,64,3,Calle GODELLA,Calle GODELLA,,21,BARAJAS,408,6,136,F
Piso en venta en calle San Macario,LOS ROSALES,Madrid,115,3,Calle San Macario,Calle San Macario,,21,BARAJAS,780,6,260,
Piso en venta en Los Rosales,VILLAVERDE,Madrid,115,3,,,,21,BARAJAS,867,7,289,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,65,3,,,,21,BARAJAS,494,7,164,
Piso en venta en San Andrés,VILLAVERDE,Madrid,75,3,,,,21,BARAJAS,666,8,222,
Piso en venta en San Cristóbal,VILLAVERDE,Madrid,60,2,,,,21,BARAJAS,516,8,258,
Piso en venta en San Andrés,VILLAVERDE,Madrid,60,2,,,,21,BARAJAS,493,8,246,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,95,4,,,,21,BARAJAS,724,7,181,
Piso en venta en San Andrés,VILLAVERDE,Madrid,76,3,,,,21,BARAJAS,583,7,194,
Piso en venta en camino Leganés,SAN ANDRES,Madrid,51,2,Camino Leganés,Camino Leganés,,21,BARAJAS,508,9,254,
Piso en venta en calle de las Islas,SAN ANDRES,Madrid,134,3,Calle de las Islas,Calle de las Islas,,21,BARAJAS,666,4,222,
Piso en venta en calle de Parvillas Bajas,SAN ANDRES,Madrid,62,2,Calle de Parvillas Bajas,Calle de Parvillas Bajas,,21,BARAJAS,557,8,278,
Piso en venta en COBALTO s/n,SAN ANDRES,Madrid,75,3,,,,21,BARAJAS,698,9,232,
Piso en venta en Butarque,VILLAVERDE,Madrid,112,4,,,,21,BARAJAS,1148,10,287,B
Piso en venta en calle Villajoyosa,LOS ROSALES,Madrid,65,3,Calle Villajoyosa,Calle Villajoyosa,,21,BARAJAS,744,11,248,
Piso en venta en paseo de Alberto Palacios,SAN ANDRES,Madrid,70,2,Paseo de Alberto Palacios,Paseo de Alberto Palacios,,21,BARAJAS,728,10,364,E
Piso en venta en calle Laguna del Marquesado,SAN ANDRES,Madrid,75,1,Calle Laguna del Marquesado,Calle Laguna del Marquesado,,21,BARAJAS,505,6,505,
Piso en venta en carretera de Villaverde a Vallecas,LOS ROSALES,Madrid,123,3,Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,,21,BARAJAS,1195,9,398,
Piso en venta en camino Leganés,SAN ANDRES,Madrid,61,3,Camino Leganés,Camino Leganés,,21,BARAJAS,539,8,179,
Piso en venta en San Andrés,VILLAVERDE,Madrid,72,2,,,,21,BARAJAS,698,9,349,
"Piso en venta en Concepción de la Oliva, 21",BUTARQUE,Madrid,61,3,Concepción de la Oliva,Concepción de la Oliva 21,21,21,BARAJAS,539,8,179,
Piso en venta en San Neviano - Villaverde,SAN ANDRES,Madrid,71,3,San Neviano - Villaverde,San Neviano - Villaverde,,21,BARAJAS,672,9,224,
Piso en venta en Los Rosales,VILLAVERDE,Madrid,87,3,,,,21,BARAJAS,521,5,173,E
Piso en venta en paseo de Alberto Palacios,SAN ANDRES,Madrid,60,2,Paseo de Alberto Palacios,Paseo de Alberto Palacios,,21,BARAJAS,758,12,379,A
Piso en venta en calle la Dolorosa,LOS ANGELES,Madrid,78,4,Calle la Dolorosa,Calle la Dolorosa,,21,BARAJAS,731,9,182,G
Piso en venta en calle Encarnación Oviol,LOS ROSALES,Madrid,52,1,Calle Encarnación Oviol,Calle Encarnación Oviol,,21,BARAJAS,505,9,505,G
Dúplex en venta en calle ESTEFANITA,BUTARQUE,Madrid,125,3,Calle ESTEFANITA,Calle ESTEFANITA,,21,BARAJAS,1135,9,378,D
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,97,2,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1111,11,555,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,93,2,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1004,10,502,
Piso en venta en calle de la del Manojo de Rosas,LOS ANGELES,Madrid,103,4,Calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,,21,BARAJAS,823,7,205,
Ático en venta en Villaverde a perales,BUTARQUE,Madrid,83,2,Villaverde a perales,Villaverde a perales,,21,BARAJAS,1004,12,502,
Piso en venta en calle de Juan José Martínez Seco,LOS ROSALES,Madrid,45,2,Calle de Juan José Martínez Seco,Calle de Juan José Martínez Seco,,21,BARAJAS,471,10,235,E
Piso en venta en carretera de Villaverde a Vallecas,LOS ROSALES,Madrid,120,3,Carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,,21,BARAJAS,1195,9,398,
