TITLE,NEIGHBORHOOD,CITY,SQUARE METERS,NUM OF ROOMS,STREET NAME,ADDRESS,STREET NUM,DISTRICT CODE,DISTRICT,RENT PRICE,RENT PRICE BY SQ METER,RENT BY ROOM,ENERGY CERTIFICATE
"Piso en venta en calle la del Soto del Parral, 59",LOS ANGELES,Madrid,74,3,Calle la del Soto del Parral,Calle la del Soto del Parral 59,59,21,BARAJAS,702,9,234,
"Dúplex en venta en calle Estefanita, 6",BUTARQUE,Madrid,125,3,Calle Estefanita,Calle Estefanita 6,6,21,BARAJAS,1128,9,376,F
Piso en venta en calle Berrocal,BUTARQUE,Madrid,126,4,Calle Berrocal,Calle Berrocal,,21,BARAJAS,1135,9,283,
"Ático en venta en calle Euskalduna, 14",BUTARQUE,Madrid,158,3,Calle Euskalduna,Calle Euskalduna 14,14,21,BARAJAS,1172,7,390,
Piso en venta en Los Rosales,VILLAVERDE,Madrid,65,2,,,,21,BARAJAS,604,9,302,G
Piso en venta en calle Alcocer,LOS ANGELES,Madrid,108,3,Calle Alcocer,Calle Alcocer,,21,BARAJAS,847,7,282,
Piso en venta en San Andrés,VILLAVERDE,Madrid,62,2,,,,21,BARAJAS,638,10,319,E
Piso en venta en calle Topacio,LOS ROSALES,Madrid,51,2,Calle Topacio,Calle Topacio,,21,BARAJAS,492,9,246,
"Piso en venta en calle Calcio, 15",BUTARQUE,Madrid,112,3,Calle Calcio,Calle Calcio 15,15,21,BARAJAS,1172,10,390,E
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,109,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,968,8,322,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,107,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,940,8,313,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,76,2,Calle Camas,Calle Camas 2,2,21,BARAJAS,790,10,395,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,105,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,933,8,311,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,109,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,982,9,327,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,108,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,974,9,324,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,109,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,1014,9,338,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,76,2,Calle Camas,Calle Camas 2,2,21,BARAJAS,793,10,396,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,76,2,Calle Camas,Calle Camas 2,2,21,BARAJAS,783,10,391,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,108,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,970,8,323,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,76,2,Calle Camas,Calle Camas 2,2,21,BARAJAS,799,10,399,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,109,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,978,8,326,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,108,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,1011,9,337,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,108,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,960,8,320,
"Ático en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,111,2,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1011,9,505,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,115,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1020,8,340,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,115,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1011,8,337,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,117,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1050,8,350,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,117,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1048,8,349,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,117,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1052,8,350,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,118,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,977,8,325,
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,115,3,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,1046,9,348,
Piso en venta en calle Parvillas Altas s/n,SAN ANDRES,Madrid,97,4,,,,21,BARAJAS,666,6,166,E
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,106,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1071,10,357,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,103,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1025,9,341,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,103,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1024,9,341,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,103,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1027,9,342,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,114,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1080,9,360,
"Chalet adosado en venta en calle Emilia Ballester, Madrid, 15",SAN ANDRES,Madrid,150,2,Calle Emilia Ballester,Calle Emilia Ballester 15,15,21,BARAJAS,777,5,388,F
"Dúplex en venta en calle Estefanita, 6",BUTARQUE,Madrid,140,3,Calle Estefanita,Calle Estefanita 6,6,21,BARAJAS,1128,8,376,D
Piso en venta en calle del Estroncio,LOS ROSALES,Madrid,58,3,Calle del Estroncio,Calle del Estroncio,,21,BARAJAS,471,8,157,E
Piso en venta en calle Moncada,SAN CRISTOBAL,Madrid,65,3,Calle Moncada,Calle Moncada,,21,BARAJAS,512,7,170,
Piso en venta en calle de Martinez Oviol,LOS ROSALES,Madrid,110,4,Calle de Martinez Oviol,Calle de Martinez Oviol,,21,BARAJAS,833,7,208,E
Piso en venta en Butarque,VILLAVERDE,Madrid,173,4,,,,21,BARAJAS,1116,6,279,
Ático en venta en San Andrés,VILLAVERDE,Madrid,75,2,,,,21,BARAJAS,766,10,383,
"Ático en venta en calle Ganados del Salobral , 12",BUTARQUE,Madrid,90,1,Calle Ganados del Salobral,Calle Ganados del Salobral 12,12,21,BARAJAS,861,9,861,
"Piso en venta en calle de la Generosidad, 16",LOS ROSALES,Madrid,125,3,Calle de la Generosidad,Calle de la Generosidad 16,16,21,BARAJAS,948,7,316,B
Piso en venta en calle de Tordegrillos,SAN ANDRES,Madrid,58,2,Calle de Tordegrillos,Calle de Tordegrillos,,21,BARAJAS,471,8,235,
Piso en venta en avenida de la Verbena de la Paloma,LOS ANGELES,Madrid,92,3,Avenida de la Verbena de la Paloma,Avenida de la Verbena de la Paloma,,21,BARAJAS,780,8,260,
"Piso en venta en paseo Alberto Palacios, 35",SAN ANDRES,Madrid,70,2,Paseo Alberto Palacios,Paseo Alberto Palacios 35,35,21,BARAJAS,613,8,306,
"Piso en venta en calle Doctor Pérez Domínguez, 2",SAN ANDRES,Madrid,54,2,Calle Doctor Pérez Domínguez,Calle Doctor Pérez Domínguez 2,2,21,BARAJAS,583,10,291,E
Piso en venta en Los Rosales,VILLAVERDE,Madrid,52,2,,,,21,BARAJAS,539,10,269,E
Piso en venta en calle de los Cacereños,SAN ANDRES,Madrid,108,3,Calle de los Cacereños,Calle de los Cacereños,,21,BARAJAS,705,6,235,
Piso en venta en calle de Campos Ibáñez,LOS ROSALES,Madrid,65,2,Calle de Campos Ibáñez,Calle de Campos Ibáñez,,21,BARAJAS,568,8,284,
Piso en venta en calle DIAMANTE,LOS ROSALES,Madrid,102,3,Calle DIAMANTE,Calle DIAMANTE,,21,BARAJAS,656,6,218,
Piso en venta en calle Transversal Sexta,SAN ANDRES,Madrid,80,2,Calle Transversal Sexta,Calle Transversal Sexta,,21,BARAJAS,736,9,368,
Dúplex en venta en calle Canchal,BUTARQUE,Madrid,108,2,Calle Canchal,Calle Canchal,,21,BARAJAS,933,8,466,E
Piso en venta en calle Diamante,LOS ROSALES,Madrid,80,3,Calle Diamante,Calle Diamante,,21,BARAJAS,979,12,326,E
Piso en venta en calle Platino,LOS ROSALES,Madrid,16,3,Calle Platino,Calle Platino,,21,BARAJAS,600,37,200,E
Piso en venta en calle Gómez Acebo,SAN ANDRES,Madrid,54,2,Calle Gómez Acebo,Calle Gómez Acebo,,21,BARAJAS,493,9,246,G
Piso en venta en calle Pilar Lorengar,LOS ROSALES,Madrid,70,2,Calle Pilar Lorengar,Calle Pilar Lorengar,,21,BARAJAS,948,13,474,E
Piso en venta en calle Salsipuedes,SAN ANDRES,Madrid,99,2,Calle Salsipuedes,Calle Salsipuedes,,21,BARAJAS,725,7,362,E
Piso en venta en avenida de la Felicidad,LOS ROSALES,Madrid,123,4,Avenida de la Felicidad,Avenida de la Felicidad,,21,BARAJAS,1135,9,283,
Piso en venta en calle Escoriaza,LOS ANGELES,Madrid,64,3,Calle Escoriaza,Calle Escoriaza,,21,BARAJAS,557,8,185,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,107,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,1005,9,335,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,76,2,Calle Camas,Calle Camas 2,2,21,BARAJAS,813,10,406,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,109,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,988,9,329,
"Piso en venta en calle Camas, 2",BUTARQUE,Madrid,108,3,Calle Camas,Calle Camas 2,2,21,BARAJAS,979,9,326,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,103,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1026,9,342,
"Piso en venta en calle de las Viñas del Rio, 16",BUTARQUE,Madrid,103,3,Calle de las Viñas del Rio,Calle de las Viñas del Rio 16,16,21,BARAJAS,1052,10,350,
"Piso en venta en calle de las Viñas del Rio, 16",BUTARQUE,Madrid,143,3,Calle de las Viñas del Rio,Calle de las Viñas del Rio 16,16,21,BARAJAS,1094,7,364,
"Piso en venta en calle de las Viñas del Rio, 16",BUTARQUE,Madrid,99,3,Calle de las Viñas del Rio,Calle de las Viñas del Rio 16,16,21,BARAJAS,1024,10,341,
"Piso en venta en calle de las Viñas del Rio, 16",BUTARQUE,Madrid,100,3,Calle de las Viñas del Rio,Calle de las Viñas del Rio 16,16,21,BARAJAS,1024,10,341,
"Piso en venta en calle de las Viñas del Rio, 16",BUTARQUE,Madrid,176,2,Calle de las Viñas del Rio,Calle de las Viñas del Rio 16,16,21,BARAJAS,1108,6,554,
"Piso en venta en calle de las Viñas del Rio, 16",BUTARQUE,Madrid,87,2,Calle de las Viñas del Rio,Calle de las Viñas del Rio 16,16,21,BARAJAS,884,10,442,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,106,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1084,10,361,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,113,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1100,9,366,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,115,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1131,9,377,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,129,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1194,9,398,
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,Madrid,115,3,Calle Arroyo de la Bulera,Calle Arroyo de la Bulera 31,31,21,BARAJAS,1148,9,382,
Piso en venta en San Andrés,VILLAVERDE,Madrid,110,2,,,,21,BARAJAS,686,6,343,
"Piso en venta en calle Anoeta, 59",LOS ANGELES,Madrid,90,3,Calle Anoeta,Calle Anoeta 59,59,21,BARAJAS,901,10,300,
Piso en venta en calle de Sáhara,LOS ROSALES,Madrid,60,2,Calle de Sáhara,Calle de Sáhara,,21,BARAJAS,654,10,327,G
"Piso en venta en calle Alcocer, 39",LOS ANGELES,Madrid,54,2,Calle Alcocer,Calle Alcocer 39,39,21,BARAJAS,691,12,345,E
Piso en venta en calle Nuestra Señora de Begoña s/n,SAN ANDRES,Madrid,80,3,,,,21,BARAJAS,725,9,241,
Piso en venta en calle de Tordegrillos,SAN ANDRES,Madrid,73,2,Calle de Tordegrillos,Calle de Tordegrillos,,21,BARAJAS,656,8,328,G
Piso en venta en calle Transversal Sexta,SAN ANDRES,Madrid,122,3,Calle Transversal Sexta,Calle Transversal Sexta,,21,BARAJAS,847,6,282,
Piso en venta en Villaverde a Perales,BUTARQUE,Madrid,98,3,Villaverde a Perales,Villaverde a Perales,,21,BARAJAS,1111,11,370,
Piso en venta en villaverde a perales,BUTARQUE,Madrid,97,3,villaverde a perales,villaverde a perales,,21,BARAJAS,1100,11,366,
Ático en venta en villaverde a perales,BUTARQUE,Madrid,111,3,villaverde a perales,villaverde a perales,,21,BARAJAS,1194,10,398,
Piso en venta en villaverde a perales,BUTARQUE,Madrid,99,3,villaverde a perales,villaverde a perales,,21,BARAJAS,1071,10,357,
Piso en venta en Los Rosales,VILLAVERDE,Madrid,77,3,,,,21,BARAJAS,598,7,199,
"Piso en venta en paseo de Alberto Palacios, Madrid, 86",SAN ANDRES,Madrid,85,3,Paseo de Alberto Palacios,Paseo de Alberto Palacios 86,86,21,BARAJAS,698,8,232,
"Piso en venta en calle Limonita, 5",BUTARQUE,Madrid,90,3,Calle Limonita,Calle Limonita 5,5,21,BARAJAS,994,11,331,
"Piso en venta en calle Flora Tristán, 1",LOS ROSALES,Madrid,133,2,Calle Flora Tristán,Calle Flora Tristán 1,1,21,BARAJAS,1105,8,552,C
Piso en venta en EDUARDO MINGUITO,LOS ROSALES,Madrid,60,3,EDUARDO MINGUITO,EDUARDO MINGUITO,,21,BARAJAS,531,8,177,F
Piso en venta en calle Estefanita,BUTARQUE,Madrid,133,3,Calle Estefanita,Calle Estefanita,,21,BARAJAS,1135,8,378,D
Piso en venta en calle Emilia Ballester,SAN ANDRES,Madrid,85,2,Calle Emilia Ballester,Calle Emilia Ballester,,21,BARAJAS,642,7,321,F
Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n,LOS ANGELES,Madrid,59,2,,,,21,BARAJAS,797,13,398,
Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n,LOS ANGELES,Madrid,59,2,,,,21,BARAJAS,796,13,398,
Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n,LOS ANGELES,Madrid,58,2,,,,21,BARAJAS,800,13,400,
Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n,LOS ANGELES,Madrid,79,3,,,,21,BARAJAS,925,11,308,
Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n,LOS ANGELES,Madrid,60,2,,,,21,BARAJAS,796,13,398,
"Piso en venta en calle María de Echarri, 11",LOS ROSALES,Madrid,121,3,Calle María de Echarri,Calle María de Echarri 11,11,21,BARAJAS,1094,9,364,
"Piso en venta en calle San Jenaro esquina Calle Alcocer, 1",SAN ANDRES,Madrid,126,3,Calle San Jenaro esquina Calle Alcocer,Calle San Jenaro esquina Calle Alcocer 1,1,21,BARAJAS,1187,9,395,
"Piso en venta en calle San Jenaro esquina Calle Alcocer, 1",SAN ANDRES,Madrid,134,4,Calle San Jenaro esquina Calle Alcocer,Calle San Jenaro esquina Calle Alcocer 1,1,21,BARAJAS,1250,9,312,
"Piso en venta en calle San Jenaro esquina Calle Alcocer, 1",SAN ANDRES,Madrid,111,3,Calle San Jenaro esquina Calle Alcocer,Calle San Jenaro esquina Calle Alcocer 1,1,21,BARAJAS,1094,9,364,
"Piso en venta en calle San Jenaro esquina Calle Alcocer, 1",SAN ANDRES,Madrid,122,3,Calle San Jenaro esquina Calle Alcocer,Calle San Jenaro esquina Calle Alcocer 1,1,21,BARAJAS,1164,9,388,
"Piso en venta en calle San Jenaro esquina Calle Alcocer, 1",SAN ANDRES,Madrid,125,3,Calle San Jenaro esquina Calle Alcocer,Calle San Jenaro esquina Calle Alcocer 1,1,21,BARAJAS,1174,9,391,
"Piso en venta en calle San Jenaro esquina Calle Alcocer, 1",SAN ANDRES,Madrid,102,2,Calle San Jenaro esquina Calle Alcocer,Calle San Jenaro esquina Calle Alcocer 1,1,21,BARAJAS,1066,10,533,
Piso en venta en villaverde a perales s/n,BUTARQUE,Madrid,104,3,,,,21,BARAJAS,1131,10,377,
Piso en venta en calle MONCADA,SAN CRISTOBAL,Madrid,66,3,Calle MONCADA,Calle MONCADA,,21,BARAJAS,561,8,187,
Piso en venta en camino Leganés,SAN ANDRES,Madrid,95,2,Camino Leganés,Camino Leganés,,21,BARAJAS,762,8,381,D
Piso en venta en calle de Paterna,SAN CRISTOBAL,Madrid,74,3,Calle de Paterna,Calle de Paterna,,21,BARAJAS,539,7,179,E
Piso en venta en calle Euskalduna,BUTARQUE,Madrid,97,2,Calle Euskalduna,Calle Euskalduna,,21,BARAJAS,948,9,474,D
Ático en venta en calle Lenguas,SAN ANDRES,Madrid,90,2,Calle Lenguas,Calle Lenguas,,21,BARAJAS,1038,11,519,
Piso en venta en calle Huerta de villaverde,SAN ANDRES,Madrid,130,4,Calle Huerta de villaverde,Calle Huerta de villaverde,,21,BARAJAS,1086,8,271,
Piso en venta en plaza de Gómez Acebo,SAN ANDRES,Madrid,49,2,Plaza de Gómez Acebo,Plaza de Gómez Acebo,,21,BARAJAS,466,9,233,E
"Piso en venta en calle Augustóbriga, 5",LOS ROSALES,Madrid,151,3,Calle Augustóbriga,Calle Augustóbriga 5,5,21,BARAJAS,1235,8,411,
Piso en venta en Benimamet,SAN CRISTOBAL,Madrid,69,3,Benimamet,Benimamet,,21,BARAJAS,570,8,190,
"Ático en venta en calle Calcio, 20",BUTARQUE,Madrid,170,3,Calle Calcio,Calle Calcio 20,20,21,BARAJAS,1262,7,420,
Piso en venta en calle Eduardo Minguito,LOS ROSALES,Madrid,48,2,Calle Eduardo Minguito,Calle Eduardo Minguito,,21,BARAJAS,489,10,244,E
"Piso en venta en calle Flora Tristán, 10",LOS ROSALES,Madrid,98,3,Calle Flora Tristán,Calle Flora Tristán 10,10,21,BARAJAS,1161,11,387,
"Piso en venta en calle Lenguas, 18 B",SAN ANDRES,Madrid,50,1,Calle Lenguas,Calle Lenguas 18 B,18 B,21,BARAJAS,686,13,686,
Ático en venta en calle Transversal Sexta,SAN ANDRES,Madrid,136,3,Calle Transversal Sexta,Calle Transversal Sexta,,21,BARAJAS,1009,7,336,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,80,3,,,,21,BARAJAS,791,9,263,
Piso en venta en camino Leganés,SAN ANDRES,Madrid,95,3,Camino Leganés,Camino Leganés,,21,BARAJAS,868,9,289,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,56,3,,,,21,BARAJAS,447,7,149,
Piso en venta en calle Eduardo Minguito,LOS ROSALES,Madrid,43,1,Calle Eduardo Minguito,Calle Eduardo Minguito,,21,BARAJAS,466,10,466,E
Piso en venta en San Andrés,VILLAVERDE,Madrid,72,3,,,,21,BARAJAS,625,8,208,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,100,4,,,,21,BARAJAS,762,7,190,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,70,3,,,,21,BARAJAS,625,8,208,
Piso en venta en San Cristóbal,VILLAVERDE,Madrid,60,2,,,,21,BARAJAS,446,7,223,
Piso en venta en San Andrés,VILLAVERDE,Madrid,60,2,,,,21,BARAJAS,446,7,223,
Piso en venta en Los Ángeles,VILLAVERDE,Madrid,91,3,,,,21,BARAJAS,666,7,222,
Piso en venta en San Andrés,VILLAVERDE,Madrid,74,3,,,,21,BARAJAS,539,7,179,
"Piso en venta en calle Calcio, 15",BUTARQUE,Madrid,110,3,Calle Calcio,Calle Calcio 15,15,21,BARAJAS,1135,10,378,
Piso en venta en calle tordegrillos,SAN ANDRES,Madrid,83,3,Calle tordegrillos,Calle tordegrillos,,21,BARAJAS,501,6,167,
