ID;TITLE;NEIGHBORHOOD;CITY;SQUARE METERS;NUM OF ROOMS;NUM OF BATHROOMS;STREET NAME;STREET NUM;DISTRICT CODE;DISTRICT;RENT PRICE;BUY PRICE;ENERGY CERTIFICATE
1;Piso en venta en calle de Godella, 64;San Cristóbal;Madrid;640;2;10;Calle de Godella;64;21;Villaverde;471;85000;D
2;Piso en venta en calle de la del Manojo de Rosas;Los Ángeles;Madrid;700;3;10;Calle de la del Manojo de Rosas;;21;Villaverde;666;129900;
3;Piso en venta en calle del Talco, 68;San Andrés;Madrid;940;2;20;Calle del Talco;68;21;Villaverde;722;144247;
4;Piso en venta en calle Pedro Jiménez;San Andrés;Madrid;640;2;10;Calle Pedro Jiménez;;21;Villaverde;583;109900;
5;Piso en venta en carretera de Villaverde a Vallecas;Los Rosales;Madrid;1080;2;20;Carretera de Villaverde a Vallecas;;21;Villaverde;1094;260000;
6;Piso en venta en geologia;San Andrés;Madrid;1260;4;20;geologia;;21;Villaverde;901;195000;
7;Piso en venta en avenida Real de Pinto;San Andrés;Madrid;1200;5;20;Avenida Real de Pinto;;21;Villaverde;884;190000;F
8;Piso en venta en San Andrés;Villaverde;Madrid;1250;3;20;;;21;Villaverde;912;198500;
9;Piso en venta en Butarque;Villaverde;Madrid;840;3;20;;;21;Villaverde;954;212000;F
10;Piso en venta en calle de Martinez Oviol;Los Rosales;Madrid;850;2;10;Calle de Martinez Oviol;;21;Villaverde;672;131400;
11;Piso en venta en De la Plata - Villaverde;San Andrés;Madrid;690;2;20;De la Plata - Villaverde;;21;Villaverde;617;118000;
12;Piso en venta en Butarque;Villaverde;Madrid;1220;3;20;;;21;Villaverde;1058;246900;E
13;Piso en venta en calle de la Unanimidad, 67;Los Rosales;Madrid;1230;3;20;Calle de la Unanimidad;67;21;Villaverde;901;195000;D
14;Piso en venta en calle de Anoeta, 63;Los Ángeles;Madrid;1090;3;20;Calle de Anoeta;63;21;Villaverde;933;205000;E
15;Piso en venta en calle GODELLA;San Cristóbal;Madrid;640;3;10;Calle GODELLA;;21;Villaverde;408;72000;F
16;Piso en venta en calle San Macario;Los Rosales;Madrid;1150;3;10;Calle San Macario;;21;Villaverde;780;160000;
17;Piso en venta en Los Rosales;Villaverde;Madrid;1150;3;10;;;21;Villaverde;867;184900;
18;Piso en venta en Los Ángeles;Villaverde;Madrid;650;3;10;;;21;Villaverde;494;90000;
19;Piso en venta en San Andrés;Villaverde;Madrid;750;3;10;;;21;Villaverde;666;129900;
20;Piso en venta en San Cristóbal;Villaverde;Madrid;600;2;10;;;21;Villaverde;516;94900;
21;Piso en venta en San Andrés;Villaverde;Madrid;600;2;10;;;21;Villaverde;493;89900;
22;Piso en venta en Los Ángeles;Villaverde;Madrid;950;4;20;;;21;Villaverde;724;144900;
23;Piso en venta en San Andrés;Villaverde;Madrid;760;3;10;;;21;Villaverde;583;110000;
24;Piso en venta en camino Leganés;San Andrés;Madrid;510;2;10;Camino Leganés;;21;Villaverde;508;93000;
25;Piso en venta en calle de las Islas;San Andrés;Madrid;1340;3;20;Calle de las Islas;;21;Villaverde;666;130000;
26;Piso en venta en calle de Parvillas Bajas;San Andrés;Madrid;620;2;10;Calle de Parvillas Bajas;;21;Villaverde;557;104000;
27;Piso en venta en COBALTO s/n;San Andrés;Madrid;750;3;10;;;21;Villaverde;698;138000;
28;Piso en venta en Butarque;Villaverde;Madrid;1120;4;20;;;21;Villaverde;1148;280000;B
29;Piso en venta en calle Villajoyosa;Los Rosales;Madrid;650;3;10;Calle Villajoyosa;;21;Villaverde;744;150000;
30;Piso en venta en paseo de Alberto Palacios;San Andrés;Madrid;700;2;10;Paseo de Alberto Palacios;;21;Villaverde;728;145900;E
31;Piso en venta en calle Laguna del Marquesado;San Andrés;Madrid;750;1;10;Calle Laguna del Marquesado;;21;Villaverde;505;92500;
32;Piso en venta en carretera de Villaverde a Vallecas;Los Rosales;Madrid;1230;3;20;Carretera de Villaverde a Vallecas;;21;Villaverde;1195;298000;
33;Piso en venta en camino Leganés;San Andrés;Madrid;610;3;10;Camino Leganés;;21;Villaverde;539;99900;
34;Piso en venta en San Andrés;Villaverde;Madrid;720;2;10;;;21;Villaverde;698;138000;
35;Piso en venta en Concepción de la Oliva, 21;Butarque;Madrid;610;3;10;Concepción de la Oliva;21;21;Villaverde;539;100000;
36;Piso en venta en San Neviano - Villaverde;San Andrés;Madrid;710;3;10;San Neviano - Villaverde;;21;Villaverde;672;131400;
37;Piso en venta en Los Rosales;Villaverde;Madrid;870;3;10;;;21;Villaverde;521;96000;E
38;Piso en venta en paseo de Alberto Palacios;San Andrés;Madrid;600;2;10;Paseo de Alberto Palacios;;21;Villaverde;758;154000;A
39;Piso en venta en calle la Dolorosa;Los Ángeles;Madrid;780;4;10;Calle la Dolorosa;;21;Villaverde;731;146700;G
40;Piso en venta en calle Encarnación Oviol;Los Rosales;Madrid;520;1;10;Calle Encarnación Oviol;;21;Villaverde;505;92500;G
41;Dúplex en venta en calle ESTEFANITA;Butarque;Madrid;1250;3;30;Calle ESTEFANITA;;21;Villaverde;1135;275000;D
42;Estudio en venta en calle Laguna del Marquesado;San Andrés;Madrid;750;0;10;Calle Laguna del Marquesado;;21;Villaverde;465;83800;
43;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;970;2;20;Calle Arroyo de la Bulera;31;21;Villaverde;1111;266122;
44;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;930;2;20;Calle Arroyo de la Bulera;31;21;Villaverde;1004;228273;
45;Piso en venta en calle de la del Manojo de Rosas;Los Ángeles;Madrid;1030;4;20;Calle de la del Manojo de Rosas;;21;Villaverde;823;171900;
46;Ático en venta en Villaverde a perales;Butarque;Madrid;830;2;20;Villaverde a perales;;21;Villaverde;1004;228273;
47;Piso en venta en calle de Juan José Martínez Seco;Los Rosales;Madrid;450;2;10;Calle de Juan José Martínez Seco;;21;Villaverde;471;85000;E
48;Piso en venta en carretera de Villaverde a Vallecas;Los Rosales;Madrid;1200;3;20;Carretera de Villaverde a Vallecas;;21;Villaverde;1195;298000;
49;Piso en venta en calle la del Soto del Parral, 59;Los Ángeles;Madrid;740;3;10;Calle la del Soto del Parral;59;21;Villaverde;702;139000;
50;Dúplex en venta en calle Estefanita, 6;Butarque;Madrid;1250;3;20;Calle Estefanita;6;21;Villaverde;1128;272500;F
51;Piso en venta en calle Berrocal;Butarque;Madrid;1260;4;20;Calle Berrocal;;21;Villaverde;1135;275000;
52;Ático en venta en calle Euskalduna, 14;Butarque;Madrid;1580;3;20;Calle Euskalduna;14;21;Villaverde;1172;289000;
53;Piso en venta en Los Rosales;Villaverde;Madrid;650;2;10;;;21;Villaverde;604;115000;G
54;Piso en venta en calle Alcocer;Los Ángeles;Madrid;1080;3;20;Calle Alcocer;;21;Villaverde;847;179000;
55;Piso en venta en San Andrés;Villaverde;Madrid;620;2;10;;;21;Villaverde;638;123000;E
56;Piso en venta en calle Topacio;Los Rosales;Madrid;510;2;10;Calle Topacio;;21;Villaverde;492;89500;
57;Piso en venta en calle Calcio, 15;Butarque;Madrid;1120;3;20;Calle Calcio;15;21;Villaverde;1172;289000;E
58;Piso en venta en calle Camas, 2;Butarque;Madrid;1090;3;20;Calle Camas;2;21;Villaverde;968;216278;
59;Piso en venta en calle Camas, 2;Butarque;Madrid;1070;3;20;Calle Camas;2;21;Villaverde;940;207503;
60;Piso en venta en calle Camas, 2;Butarque;Madrid;760;2;20;Calle Camas;2;21;Villaverde;790;162793;
61;Piso en venta en calle Camas, 2;Butarque;Madrid;1050;3;20;Calle Camas;2;21;Villaverde;933;204999;
62;Piso en venta en calle Camas, 2;Butarque;Madrid;1090;3;20;Calle Camas;2;21;Villaverde;982;220879;
63;Piso en venta en calle Camas, 2;Butarque;Madrid;1080;3;20;Calle Camas;2;21;Villaverde;974;218258;
64;Piso en venta en calle Camas, 2;Butarque;Madrid;1090;3;20;Calle Camas;2;21;Villaverde;1014;231855;
65;Piso en venta en calle Camas, 2;Butarque;Madrid;760;2;20;Calle Camas;2;21;Villaverde;793;163397;
66;Piso en venta en calle Camas, 2;Butarque;Madrid;760;2;20;Calle Camas;2;21;Villaverde;783;160759;
67;Piso en venta en calle Camas, 2;Butarque;Madrid;1080;3;20;Calle Camas;2;21;Villaverde;970;217169;
68;Piso en venta en calle Camas, 2;Butarque;Madrid;760;2;20;Calle Camas;2;21;Villaverde;799;165208;
69;Piso en venta en calle Camas, 2;Butarque;Madrid;1090;3;20;Calle Camas;2;21;Villaverde;978;219775;
70;Piso en venta en calle Camas, 2;Butarque;Madrid;1080;3;20;Calle Camas;2;21;Villaverde;1011;230817;
71;Piso en venta en calle Camas, 2;Butarque;Madrid;1080;3;20;Calle Camas;2;21;Villaverde;960;213722;
72;Ático en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1110;2;20;Calle Ganados del Salobral;12;21;Villaverde;1011;230749;
73;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1150;3;20;Calle Ganados del Salobral;12;21;Villaverde;1020;233789;
