ID;TITLE;NEIGHBORHOOD;CITY;SQUARE METERS;NUM OF ROOMS;NUM OF BATHROOMS;STREET NAME;STREET NUM;DISTRICT CODE;DISTRICT;RENT PRICE;BUY PRICE;ENERGY CERTIFICATE
74;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1150;3;20;Calle Ganados del Salobral;12;21;Villaverde;1011;230789;
75;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1170;3;20;Calle Ganados del Salobral;12;21;Villaverde;1050;244171;
76;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1170;3;20;Calle Ganados del Salobral;12;21;Villaverde;1048;243468;
77;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1170;3;20;Calle Ganados del Salobral;12;21;Villaverde;1052;244798;
78;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1180;3;20;Calle Ganados del Salobral;12;21;Villaverde;977;219235;
79;Piso en venta en calle Ganados del Salobral , 12;Butarque;Madrid;1150;3;20;Calle Ganados del Salobral;12;21;Villaverde;1046;242789;
80;Piso en venta en calle Parvillas Altas s/n;San Andrés;Madrid;970;4;10;;;21;Villaverde;666;130000;E
81;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1060;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1071;251569;
82;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1030;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1025;235402;
83;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1030;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1024;235172;
84;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1030;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1027;236227;
85;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1140;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1080;254710;
86;Chalet adosado en venta en calle Emilia Ballester, Madrid, 15;San Andrés;Madrid;1500;2;10;Calle Emilia Ballester;15;21;Villaverde;777;159000;F
87;Dúplex en venta en calle Estefanita, 6;Butarque;Madrid;1400;3;30;Calle Estefanita;6;21;Villaverde;1128;272500;D
88;Piso en venta en calle del Estroncio;Los Rosales;Madrid;580;3;10;Calle del Estroncio;;21;Villaverde;471;85000;E
89;Piso en venta en calle Moncada;San Cristóbal;Madrid;650;3;10;Calle Moncada;;21;Villaverde;512;94000;
90;Piso en venta en calle de Martinez Oviol;Los Rosales;Madrid;1100;4;20;Calle de Martinez Oviol;;21;Villaverde;833;175000;E
91;Piso en venta en Butarque;Villaverde;Madrid;1730;4;20;;;21;Villaverde;1116;268000;
92;Ático en venta en San Andrés;Villaverde;Madrid;750;2;10;;;21;Villaverde;766;156000;
93;Ático en venta en calle Ganados del Salobral , 12;Butarque;Madrid;900;1;10;Calle Ganados del Salobral;12;21;Villaverde;861;183159;
94;Piso en venta en calle de la Generosidad, 16;Los Rosales;Madrid;1250;3;20;Calle de la Generosidad;16;21;Villaverde;948;210000;B
95;Piso en venta en calle de Tordegrillos;San Andrés;Madrid;580;2;10;Calle de Tordegrillos;;21;Villaverde;471;85000;
96;Piso en venta en avenida de la Verbena de la Paloma;Los Ángeles;Madrid;920;3;10;Avenida de la Verbena de la Paloma;;21;Villaverde;780;159900;
97;Piso en venta en paseo Alberto Palacios, 35;San Andrés;Madrid;700;2;10;Paseo Alberto Palacios;35;21;Villaverde;613;117000;
98;Piso en venta en calle Doctor Pérez Domínguez, 2;San Andrés;Madrid;540;2;10;Calle Doctor Pérez Domínguez;2;21;Villaverde;583;110000;E
99;Piso en venta en Los Rosales;Villaverde;Madrid;520;2;10;;;21;Villaverde;539;100000;E
100;Piso en venta en calle de los Cacereños;San Andrés;Madrid;1080;3;10;Calle de los Cacereños;;21;Villaverde;705;140000;
101;Piso en venta en calle de Campos Ibáñez;Los Rosales;Madrid;650;2;10;Calle de Campos Ibáñez;;21;Villaverde;568;106500;
102;Piso en venta en calle DIAMANTE;Los Rosales;Madrid;1020;3;20;Calle DIAMANTE;;21;Villaverde;656;127500;
103;Piso en venta en calle Transversal Sexta;San Andrés;Madrid;800;2;10;Calle Transversal Sexta;;21;Villaverde;736;148000;
104;Dúplex en venta en calle Canchal;Butarque;Madrid;1080;2;10;Calle Canchal;;21;Villaverde;933;205000;E
105;Piso en venta en calle Diamante;Los Rosales;Madrid;800;3;20;Calle Diamante;;21;Villaverde;979;220000;E
106;Piso en venta en calle Platino;Los Rosales;Madrid;160;3;10;Calle Platino;;21;Villaverde;600;114000;E
107;Piso en venta en calle Gómez Acebo;San Andrés;Madrid;540;2;10;Calle Gómez Acebo;;21;Villaverde;493;89900;G
108;Piso en venta en calle Pilar Lorengar;Los Rosales;Madrid;700;2;20;Calle Pilar Lorengar;;21;Villaverde;948;210000;E
109;Piso en venta en calle Salsipuedes;San Andrés;Madrid;990;2;20;Calle Salsipuedes;;21;Villaverde;725;145000;E
110;Piso en venta en avenida de la Felicidad;Los Rosales;Madrid;1230;4;20;Avenida de la Felicidad;;21;Villaverde;1135;275000;
111;Piso en venta en calle Escoriaza;Los Ángeles;Madrid;640;3;10;Calle Escoriaza;;21;Villaverde;557;104000;
112;Piso en venta en calle Camas, 2;Butarque;Madrid;1070;3;20;Calle Camas;2;21;Villaverde;1005;228629;
113;Piso en venta en calle Camas, 2;Butarque;Madrid;760;2;20;Calle Camas;2;21;Villaverde;813;169021;
114;Piso en venta en calle Camas, 2;Butarque;Madrid;1090;3;20;Calle Camas;2;21;Villaverde;988;223022;
115;Piso en venta en calle Camas, 2;Butarque;Madrid;1080;3;20;Calle Camas;2;21;Villaverde;979;220072;
116;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1030;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1026;235718;
117;Piso en venta en calle de las Viñas del Rio, 16;Butarque;Madrid;1030;3;20;Calle de las Viñas del Rio;16;21;Villaverde;1052;245000;
118;Piso en venta en calle de las Viñas del Rio, 16;Butarque;Madrid;1430;3;20;Calle de las Viñas del Rio;16;21;Villaverde;1094;260000;
119;Piso en venta en calle de las Viñas del Rio, 16;Butarque;Madrid;990;3;20;Calle de las Viñas del Rio;16;21;Villaverde;1024;235000;
120;Piso en venta en calle de las Viñas del Rio, 16;Butarque;Madrid;1000;3;20;Calle de las Viñas del Rio;16;21;Villaverde;1024;235000;
121;Piso en venta en calle de las Viñas del Rio, 16;Butarque;Madrid;1760;2;20;Calle de las Viñas del Rio;16;21;Villaverde;1108;265000;
122;Piso en venta en calle de las Viñas del Rio, 16;Butarque;Madrid;870;2;20;Calle de las Viñas del Rio;16;21;Villaverde;884;190000;
123;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1060;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1084;256115;
124;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1130;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1100;261989;
125;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1150;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1131;273353;
126;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1290;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1194;297621;
127;Piso en venta en calle Arroyo de la Bulera, 31;Butarque;Madrid;1150;3;20;Calle Arroyo de la Bulera;31;21;Villaverde;1148;279778;
128;Piso en venta en San Andrés;Villaverde;Madrid;1100;2;20;;;21;Villaverde;686;135000;
129;Piso en venta en calle Anoeta, 59;Los Ángeles;Madrid;900;3;20;Calle Anoeta;59;21;Villaverde;901;195000;
130;Piso en venta en calle de Sáhara;Los Rosales;Madrid;600;2;10;Calle de Sáhara;;21;Villaverde;654;126900;G
131;Piso en venta en calle Alcocer, 39;Los Ángeles;Madrid;540;2;10;Calle Alcocer;39;21;Villaverde;691;136400;E
132;Piso en venta en calle Nuestra Señora de Begoña s/n;San Andrés;Madrid;800;3;10;;;21;Villaverde;725;145000;
133;Piso en venta en calle de Tordegrillos;San Andrés;Madrid;730;2;10;Calle de Tordegrillos;;21;Villaverde;656;127500;G
134;Piso en venta en calle Transversal Sexta;San Andrés;Madrid;1220;3;20;Calle Transversal Sexta;;21;Villaverde;847;179000;
135;Piso en venta en Villaverde a Perales;Butarque;Madrid;980;3;20;Villaverde a Perales;;21;Villaverde;1111;266122;
136;Piso en venta en villaverde a perales;Butarque;Madrid;970;3;20;villaverde a perales;;21;Villaverde;1100;261989;
137;Ático en venta en villaverde a perales;Butarque;Madrid;1110;3;20;villaverde a perales;;21;Villaverde;1194;297621;
138;Piso en venta en villaverde a perales;Butarque;Madrid;990;3;20;villaverde a perales;;21;Villaverde;1071;251569;
139;Piso en venta en Los Rosales;Villaverde;Madrid;770;3;10;;;21;Villaverde;598;113500;
140;Piso en venta en paseo de Alberto Palacios, Madrid, 86;San Andrés;Madrid;850;3;10;Paseo de Alberto Palacios;86;21;Villaverde;698;138000;
141;Piso en venta en calle Limonita, 5;Butarque;Madrid;900;3;20;Calle Limonita;5;21;Villaverde;994;225000;
142;Piso en venta en calle Flora Tristán, 1;Los Rosales;Madrid;1330;2;10;Calle Flora Tristán;1;21;Villaverde;1105;264000;C
143;Piso en venta en EDUARDO MINGUITO;Los Rosales;Madrid;600;3;10;EDUARDO MINGUITO;;21;Villaverde;531;98260;F
144;Piso en venta en calle Estefanita;Butarque;Madrid;1330;3;30;Calle Estefanita;;21;Villaverde;1135;275000;D
145;Piso en venta en calle Emilia Ballester;San Andrés;Madrid;850;2;10;Calle Emilia Ballester;;21;Villaverde;642;124000;F
146;Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n;Los Ángeles;Madrid;590;2;20;;;21;Villaverde;797;164513;
147;Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n;Los Ángeles;Madrid;590;2;20;;;21;Villaverde;796;164416;
148;Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n;Los Ángeles;Madrid;580;2;20;;;21;Villaverde;800;165435;
149;Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n;Los Ángeles;Madrid;790;3;20;;;21;Villaverde;925;202629;
150;Piso en venta en calle La Pícara Molinera esquina C/ El Caserío s/n;Los Ángeles;Madrid;600;2;20;;;21;Villaverde;796;164242;
151;Piso en venta en calle María de Echarri, 11;Los Rosales;Madrid;1210;3;20;Calle María de Echarri;11;21;Villaverde;1094;260000;
152;Piso en venta en calle San Jenaro esquina Calle Alcocer, 1;San Andrés;Madrid;1260;3;20;Calle San Jenaro esquina Calle Alcocer;1;21;Villaverde;1187;294900;
153;Piso en venta en calle San Jenaro esquina Calle Alcocer, 1;San Andrés;Madrid;1340;4;20;Calle San Jenaro esquina Calle Alcocer;1;21;Villaverde;1250;319900;
154;Piso en venta en calle San Jenaro esquina Calle Alcocer, 1;San Andrés;Madrid;1110;3;20;Calle San Jenaro esquina Calle Alcocer;1;21;Villaverde;1094;259900;
155;Piso en venta en calle San Jenaro esquina Calle Alcocer, 1;San Andrés;Madrid;1220;3;20;Calle San Jenaro esquina Calle Alcocer;1;21;Villaverde;1164;285900;
156;Piso en venta en calle San Jenaro esquina Calle Alcocer, 1;San Andrés;Madrid;1250;3;20;Calle San Jenaro esquina Calle Alcocer;1;21;Villaverde;1174;289900;
157;Piso en venta en calle San Jenaro esquina Calle Alcocer, 1;San Andrés;Madrid;1020;2;20;Calle San Jenaro esquina Calle Alcocer;1;21;Villaverde;1066;249900;
158;Piso en venta en villaverde a perales s/n;Butarque;Madrid;1040;3;20;;;21;Villaverde;1131;273352;
159;Piso en venta en calle MONCADA;San Cristóbal;Madrid;660;3;10;Calle MONCADA;;21;Villaverde;561;104900;
160;Piso en venta en camino Leganés;San Andrés;Madrid;950;2;10;Camino Leganés;;21;Villaverde;762;155000;D
161;Piso en venta en calle de Paterna;San Cristóbal;Madrid;740;3;10;Calle de Paterna;;21;Villaverde;539;100000;E
162;Piso en venta en calle Euskalduna;Butarque;Madrid;970;2;10;Calle Euskalduna;;21;Villaverde;948;210000;D
163;Ático en venta en calle Lenguas;San Andrés;Madrid;900;2;20;Calle Lenguas;;21;Villaverde;1038;240000;
164;Piso en venta en calle Huerta de villaverde;San Andrés;Madrid;1300;4;20;Calle Huerta de villaverde;;21;Villaverde;1086;257000;
165;Piso en venta en plaza de Gómez Acebo;San Andrés;Madrid;490;2;10;Plaza de Gómez Acebo;;21;Villaverde;466;84000;E
166;Piso en venta en calle Augustóbriga, 5;Los Rosales;Madrid;1510;3;20;Calle Augustóbriga;5;21;Villaverde;1235;314000;
167;Piso en venta en Benimamet;San Cristóbal;Madrid;690;3;10;Benimamet;;21;Villaverde;570;107000;
168;Ático en venta en calle Calcio, 20;Butarque;Madrid;1700;3;20;Calle Calcio;20;21;Villaverde;1262;325000;
169;Piso en venta en calle Eduardo Minguito;Los Rosales;Madrid;480;2;10;Calle Eduardo Minguito;;21;Villaverde;489;89000;E
170;Piso en venta en calle Flora Tristán, 10;Los Rosales;Madrid;980;3;20;Calle Flora Tristán;10;21;Villaverde;1161;284900;
171;Piso en venta en calle Lenguas, 18 B;San Andrés;Madrid;500;1;10;Calle Lenguas;18 B;21;Villaverde;686;135000;
172;Ático en venta en calle Transversal Sexta;San Andrés;Madrid;1360;3;20;Calle Transversal Sexta;;21;Villaverde;1009;230000;
173;Piso en venta en Los Ángeles;Villaverde;Madrid;800;3;10;;;21;Villaverde;791;163000;
174;Piso en venta en camino Leganés;San Andrés;Madrid;950;3;10;Camino Leganés;;21;Villaverde;868;185000;
175;Piso en venta en Los Ángeles;Villaverde;Madrid;560;3;10;;;21;Villaverde;447;80000;
176;Piso en venta en calle Eduardo Minguito;Los Rosales;Madrid;430;1;10;Calle Eduardo Minguito;;21;Villaverde;466;84000;E
177;Piso en venta en San Andrés;Villaverde;Madrid;720;3;10;;;21;Villaverde;625;119900;
178;Piso en venta en Los Ángeles;Villaverde;Madrid;1000;4;20;;;21;Villaverde;762;154900;
179;Piso en venta en Los Ángeles;Villaverde;Madrid;700;3;10;;;21;Villaverde;625;119900;
180;Piso en venta en San Cristóbal;Villaverde;Madrid;600;2;10;;;21;Villaverde;446;79900;
181;Piso en venta en San Andrés;Villaverde;Madrid;600;2;10;;;21;Villaverde;446;79900;
182;Piso en venta en Los Ángeles;Villaverde;Madrid;910;3;20;;;21;Villaverde;666;129900;
183;Piso en venta en San Andrés;Villaverde;Madrid;740;3;10;;;21;Villaverde;539;99900;
184;Piso en venta en calle Calcio, 15;Butarque;Madrid;1100;3;20;Calle Calcio;15;21;Villaverde;1135;275000;
185;Piso en venta en calle tordegrillos;San Andrés;Madrid;830;3;10;Calle tordegrillos;;21;Villaverde;501;91500;
186;Estudio en venta en calle Augustóbriga;Los Rosales;Madrid;250;0;10;Calle Augustóbriga;;21;Villaverde;662;129000;
187;Piso en venta en calle Covachuelas;San Andrés;Madrid;650;2;10;Calle Covachuelas;;21;Villaverde;479;86860;
188;Piso en venta en calle Concepción de la Oliva;Butarque;Madrid;580;3;10;Calle Concepción de la Oliva;;21;Villaverde;561;105000;E
189;Piso en venta en calle de Berrocal;Butarque;Madrid;1150;3;20;Calle de Berrocal;;21;Villaverde;967;216000;
190;Piso en venta en paseo DE LAS MORERAS;San Andrés;Madrid;820;3;10;Paseo DE LAS MORERAS;;21;Villaverde;625;120000;
191;Piso en venta en calle Huerta de Villaverde;San Andrés;Madrid;830;3;10;Calle Huerta de Villaverde;;21;Villaverde;686;135000;
192;Piso en venta en calle de Berrocal;Butarque;Madrid;900;2;10;Calle de Berrocal;;21;Villaverde;954;212000;C
193;Piso en venta en GODELLA;San Cristóbal;Madrid;950;2;20;GODELLA;;21;Villaverde;864;184000;
194;Piso en venta en calle COLONIA BUTANO;San Andrés;Madrid;890;3;10;Calle COLONIA BUTANO;;21;Villaverde;780;160000;
195;Piso en venta en María de Echarri;Los Rosales;Madrid;1780;4;20;María de Echarri;;21;Villaverde;1200;299990;
196;Piso en venta en calle Fuente de la Capona;Los Rosales;Madrid;590;2;10;Calle Fuente de la Capona;;21;Villaverde;613;117000;
197;Piso en venta en calle de la Alegría de la Huerta;Los Ángeles;Madrid;1000;4;10;Calle de la Alegría de la Huerta;;21;Villaverde;798;165000;
198;Piso en venta en calle Puerto Lápice;San Andrés;Madrid;680;3;10;Calle Puerto Lápice;;21;Villaverde;517;95000;F
199;Piso en venta en San Andrés;Villaverde;Madrid;500;2;10;;;21;Villaverde;566;106000;
200;Piso en venta en San Andrés;Villaverde;Madrid;1140;4;20;;;21;Villaverde;1006;229000;
201;Piso en venta en calle Transversal Sexta;San Andrés;Madrid;810;3;20;Calle Transversal Sexta;;21;Villaverde;762;155000;
202;Piso en venta en villaverde a perales;Butarque;Madrid;910;2;20;villaverde a perales;;21;Villaverde;1004;228208;
203;Piso en venta en calle Tántalo;Butarque;Madrid;950;3;10;Calle Tántalo;;21;Villaverde;539;100000;
204;Piso en venta en San Andrés;Villaverde;Madrid;800;3;10;;;21;Villaverde;705;140000;
205;Piso en venta en calle de Juan Peñalver;San Andrés;Madrid;600;2;10;Calle de Juan Peñalver;;21;Villaverde;561;105000;
206;Piso en venta en calle Alcocer;Los Ángeles;Madrid;800;3;10;Calle Alcocer;;21;Villaverde;798;165000;
207;Piso en venta en Rocafort;San Cristóbal;Madrid;600;2;10;Rocafort;;21;Villaverde;413;73000;
208;Piso en venta en calle Lenguas;San Andrés;Madrid;500;1;10;Calle Lenguas;;21;Villaverde;777;159000;
209;Piso en venta en San Andrés;Villaverde;Madrid;1360;3;10;;;21;Villaverde;690;135990;
210;Piso en venta en calle de Eduardo Barreiros;Los Ángeles;Madrid;960;2;20;Calle de Eduardo Barreiros;;21;Villaverde;948;210000;
211;Piso en venta en calle de Clara Schumann;Los Rosales;Madrid;710;2;20;Calle de Clara Schumann;;21;Villaverde;910;198000;
212;Piso en venta en calle Diamante, Madrid;Los Rosales;Madrid;740;2;10;Calle Diamante, Madrid;;21;Villaverde;705;139900;
213;Piso en venta en calle Moncada;San Cristóbal;Madrid;650;2;10;Calle Moncada;;21;Villaverde;583;110000;E
214;Piso en venta en Los Ángeles;Villaverde;Madrid;930;3;10;;;21;Villaverde;780;160000;
215;Piso en venta en paseo de alberto palacios;San Andrés;Madrid;750;3;10;Paseo de alberto palacios;;21;Villaverde;553;103000;
216;Piso en venta en calle Eduardo Minguito, 13;Los Rosales;Madrid;630;3;10;Calle Eduardo Minguito;13;21;Villaverde;539;100000;
217;Piso en venta en San Andrés;Villaverde;Madrid;650;3;10;;;21;Villaverde;494;90000;
