ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;MODELO
"65239";"Aparcabicicletas";"215";"CORRALEJOS";"21";"BARAJAS";"OPERATIVO";"449732.02";"4479526.49";"ETRS89";40.46489143;-3.59293482;"CALLE";"BAHIA DE POLLENSA";"5";"28042";"PORTAL";"31011498";"2021-09-14 00:00:00.0";"1034222";"MU21";"MU-51"
"71328";"Aparcabicicletas";"207";"CANILLEJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447951.56";"4477290.42";"ETRS89";40.44463800;-3.61375175;"CALLE";"BOLTAÑA";"11";"28022";"FRENTE FACHADA";"20151791";"2021-09-16 00:00:00.0";"1080237";"MU21";"MU-51"
"72245";"Aparcabicicletas";"202";"HELLIN";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448147.97";"4475538.85";"ETRS89";40.42887106;-3.61129290;"CALLE";"ARCOS DE JALON";"59";"28037";"PORTAL";"31032030";"2021-09-21 00:00:00.0";"1088953";"MU21";"MU-51"
"72888";"Aparcabicicletas";"203";"AMPOSTA";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447588.54";"4475528.41";"ETRS89";40.42874195;-3.61788689;"CALLE";"ALBERIQUE";"12";"28037";"JARDIN";"31044559";"2021-09-14 00:00:00.0";"1092880";"MU21";"MU-51"
"72940";"Aparcabicicletas";"211";"ALAMEDA DE OSUNA";"21";"BARAJAS";"OPERATIVO";"449926.67";"4478040.32";"ETRS89";40.45151487;-3.59052171;"CALLE";"BALANDRO";"1";"28042";"JARDIN";"31044565";"2021-09-14 00:00:00.0";"1086955";"MU21";"MU-51"
"72244";"Aparcabicicletas";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448566.39";"4475388.99";"ETRS89";40.42754701;-3.60634821;"AVENIDA";"NIZA";"8";"28022";"PORTAL";"31031992";"2019-01-29 00:00:00.0";"1088951";"MU21";"MU-51"
"73112";"Aparcabicicletas";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"444256.68";"4479394.03";"ETRS89";40.46334885;-3.65750359;"CARRETERA";"CANILLAS";"2";"28043";"PORTAL";"20039662";"2021-05-06 00:00:00.0";"1087030";"MU21";"MU-51"
"73159";"Aparcabicicletas";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"444675.61";"4482480.50";"ETRS89";40.49118123;-3.65283180;"AVENIDA";"ALCALDE CONDE DE MAYALDE";"13";"28050";"GARAJE";"31013358";"2021-09-15 00:00:00.0";"1025720";"MU21";"MU-51"
"73114";"Aparcabicicletas";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"446289.58";"4479641.46";"ETRS89";40.46571173;-3.63354749;"CALLE";"ROSA DE CASTRO";"17";"28043";"PORTAL";"20157452";"2021-09-21 00:00:00.0";"1087175";"MU21";"MU-51"
"73169";"Aparcabicicletas";"211";"ALAMEDA DE OSUNA";"21";"BARAJAS";"OPERATIVO";"450772.41";"4479224.18";"ETRS89";40.46223034;-3.58064007;"CALLE";"RIAÑO";"9";"28042";"PORTAL";"11139933";"2021-09-14 00:00:00.0";"1034215";"MU21";"MU-51"
