ID,BARRIO,WIKIDATA_BARRIO,DISTRITO,WIKIDATA_DISTRITO,LATITUD,LONGITUD,DIRECCION,FECHA_INSTALACION,MODELO
65239,Corralejos,https://wikidata.org/entity/Q10260772,Barajas,https://wikidata.org/entity/Q807230,40.46489143,-3.59293482,CALLE BAHIA DE POLLENSA 5 28042,2021-09-14T00:00:00Z,"MU-51"
71328,Canillejas,https://wikidata.org/entity/Q663013,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,40.444638,-3.61375175,CALLE BOLTAÑA 11 28022,2021-09-16T00:00:00Z,"MU-51"
72245,Hellín,https://wikidata.org/entity/Q10294546,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,40.42887106,-3.6112929,CALLE ARCOS DE JALON 59 28037,2021-09-21T00:00:00Z,"MU-51"
72888,Amposta,https://wikidata.org/entity/Q11905392,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,40.42874195,-3.61788689,CALLE ALBERIQUE 12 28037,2021-09-14T00:00:00Z,"MU-51"
72940,Alameda de Osuna,https://wikidata.org/entity/Q760737,Barajas,https://wikidata.org/entity/Q807230,40.45151487,-3.59052171,CALLE BALANDRO 1 28042,2021-09-14T00:00:00Z,"MU-51"
72244,Rosas,https://wikidata.org/entity/Q18880469,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,40.42754701,-3.60634821,AVENIDA NIZA 8 28022,2019-01-29T00:00:00Z,"MU-51"
73112,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,40.46334885,-3.65750359,CARRETERA CANILLAS 2 28043,2021-05-06T00:00:00Z,"MU-51"
73159,Valdefuentes,https://wikidata.org/entity/Q10388714,Hortaleza,https://wikidata.org/entity/Q1928529,40.49118123,-3.6528318,AVENIDA ALCALDE CONDE DE MAYALDE 13 28050,2021-09-15T00:00:00Z,"MU-51"
73114,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,40.46571173,-3.63354749,CALLE ROSA DE CASTRO 17 28043,2021-09-21T00:00:00Z,"MU-51"
73169,Alameda de Osuna,https://wikidata.org/entity/Q760737,Barajas,https://wikidata.org/entity/Q807230,40.46223034,-3.58064007,CALLE RIAÑO 9 28042,2021-09-14T00:00:00Z,"MU-51"
73192,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,40.46570246,-3.63359459,CALLE PEDRO ALONSO 7 28043,2020-03-03T00:00:00Z,"MU-51"
73197,Ventas,https://wikidata.org/entity/Q71762,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.4262682,-3.65094366,AVENIDA MARQUES DE CORBERA 54 28017,2021-09-16T00:00:00Z,"MU-51"
73191,Palomas,https://wikidata.org/entity/Q390460,Hortaleza,https://wikidata.org/entity/Q1928529,40.45714842,-3.61773391,AVENIDA ANDES 52 28042,2021-09-08T00:00:00Z,"MU-51"
73203,Casco Histórico de Barajas,https://wikidata.org/entity/Q9701730,Barajas,https://wikidata.org/entity/Q807230,40.47453379,-3.57786272,CALLE ORION 3 28042,2019-01-29T00:00:00Z,"MU-51"
76172,Salvador,https://wikidata.org/entity/Q10367095,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,40.44349636,-3.6382916,CALLE MARIA LOMBILLO 2 28027,2021-09-23T00:00:00Z,"MU-51"
76180,Costillares,https://wikidata.org/entity/Q331385,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.48034054,-3.66523983,CALLE JAZMIN 15 28033,2021-09-17T00:00:00Z,"MU-51"
76183,San Juan Bautista,https://wikidata.org/entity/Q165609,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.44982078,-3.651229,CALLE ARTURO SORIA 126 28043,2021-09-20T00:00:00Z,"MU-51"
76191,Pueblo Nuevo,https://wikidata.org/entity/Q71753,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.42387815,-3.62806927,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 160 28037,2021-05-06T00:00:00Z,"MU-51"
78771,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,40.46807141,-3.63157922,CALLE LAS PEDROÑERAS 39 28043,2021-09-23T00:00:00Z,"MU-51"
79119,Rosas,https://wikidata.org/entity/Q18880469,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,40.42262204,-3.60040702,PASEO GINEBRA 55 28022,2022-06-22T00:00:00Z,"ACB"
88068,Pueblo Nuevo,https://wikidata.org/entity/Q71753,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.42946502,-3.63215208,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 70 28037,2021-09-24T00:00:00Z,"MU-51"
88155,Pueblo Nuevo,https://wikidata.org/entity/Q71753,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.43001728,-3.63839639,CALLE FRANCISCO RIOJA 14 28017,2021-09-30T00:00:00Z,"MU-51"
94293,Apóstol Santiago,https://wikidata.org/entity/Q11906303,Hortaleza,https://wikidata.org/entity/Q1928529,40.4785149,-3.65284889,CARRETERA ESTACION DE HORTALEZA 11 28033,2021-09-23T00:00:00Z,"MU-51"
94479,Alameda de Osuna,https://wikidata.org/entity/Q760737,Barajas,https://wikidata.org/entity/Q807230,40.46321347,-3.58731337,AVENIDA LOGROÑO 231 28042,2021-05-06T00:00:00Z,"MU-51"
65534,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,40.46390383,-3.65089295,CALLE AGUSTIN CALVO 8 28043,2019-06-14T00:00:00Z,"MU-51"
66790,Canillas,https://wikidata.org/entity/Q9694341,Hortaleza,https://wikidata.org/entity/Q1928529,40.46436295,-3.62757795,CALLE EL PROVENCIO 20 28043,2021-02-11T00:00:00Z,"MU-51"
