ID,BARRIO,DISTRITO,LATITUD,LONGITUD,DIRECCION,FECHA_INSTALACION,MODELO
65239,CORRALEJOS,BARAJAS,40.46489143,-3.59293482,CALLE BAHIA DE POLLENSA 5 28042,2021-09-14T00:00:00Z,MU-51
71328,CANILLEJAS,SAN BLAS - CANILLEJAS,40.444638,-3.61375175,CALLE BOLTAÑA 11 28022,2021-09-16T00:00:00Z,MU-51
72245,HELLIN,SAN BLAS - CANILLEJAS,40.42887106,-3.6112929,CALLE ARCOS DE JALON 59 28037,2021-09-21T00:00:00Z,MU-51
72888,AMPOSTA,SAN BLAS - CANILLEJAS,40.42874195,-3.61788689,CALLE ALBERIQUE 12 28037,2021-09-14T00:00:00Z,MU-51
72940,ALAMEDA DE OSUNA,BARAJAS,40.45151487,-3.59052171,CALLE BALANDRO 1 28042,2021-09-14T00:00:00Z,MU-51
72244,ROSAS,SAN BLAS - CANILLEJAS,40.42754701,-3.60634821,AVENIDA NIZA 8 28022,2019-01-29T00:00:00Z,MU-51
73112,CANILLAS,HORTALEZA,40.46334885,-3.65750359,CARRETERA CANILLAS 2 28043,2021-05-06T00:00:00Z,MU-51
73159,VALDEFUENTES,HORTALEZA,40.49118123,-3.6528318,AVENIDA ALCALDE CONDE DE MAYALDE 13 28050,2021-09-15T00:00:00Z,MU-51
73114,CANILLAS,HORTALEZA,40.46571173,-3.63354749,CALLE ROSA DE CASTRO 17 28043,2021-09-21T00:00:00Z,MU-51
73169,ALAMEDA DE OSUNA,BARAJAS,40.46223034,-3.58064007,CALLE RIAÑO 9 28042,2021-09-14T00:00:00Z,MU-51
73192,CANILLAS,HORTALEZA,40.46570246,-3.63359459,CALLE PEDRO ALONSO 7 28043,2020-03-03T00:00:00Z,MU-51
73197,VENTAS,CIUDAD LINEAL,40.4262682,-3.65094366,AVENIDA MARQUES DE CORBERA 54 28017,2021-09-16T00:00:00Z,MU-51
73191,PALOMAS,HORTALEZA,40.45714842,-3.61773391,AVENIDA ANDES 52 28042,2021-09-08T00:00:00Z,MU-51
73199,VENTAS,CIUDAD LINEAL,40.42627803,-3.65095908,AVENIDA MARQUES DE CORBERA 54 28017,2019-01-29T00:00:00Z,MU-51
73203,CASCO HISTORICO DE BARAJAS,BARAJAS,40.47453379,-3.57786272,CALLE ORION 3 28042,2019-01-29T00:00:00Z,MU-51
76172,EL SALVADOR,SAN BLAS - CANILLEJAS,40.44349636,-3.6382916,CALLE MARIA LOMBILLO 2 28027,2021-09-23T00:00:00Z,MU-51
76175,EL SALVADOR,SAN BLAS - CANILLEJAS,40.44352352,-3.63826827,CALLE MARIA LOMBILLO 2 28027,2021-09-22T00:00:00Z,MU-51
76180,COSTILLARES,CIUDAD LINEAL,40.48034054,-3.66523983,CALLE JAZMIN 15 28033,2021-09-17T00:00:00Z,MU-51
76179,COSTILLARES,CIUDAD LINEAL,40.48033526,-3.66524945,CALLE JAZMIN 15 28033,2021-09-14T00:00:00Z,MU-51
76183,SAN JUAN BAUTISTA,CIUDAD LINEAL,40.44982078,-3.651229,CALLE ARTURO SORIA 126 28043,2021-09-20T00:00:00Z,MU-51
76191,PUEBLO NUEVO,CIUDAD LINEAL,40.42387815,-3.62806927,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 160 28037,2021-05-06T00:00:00Z,MU-51
78771,CANILLAS,HORTALEZA,40.46807141,-3.63157922,CALLE LAS PEDROÑERAS 39 28043,2021-09-23T00:00:00Z,MU-51
78772,CANILLAS,HORTALEZA,40.46808877,-3.63161878,CALLE LAS PEDROÑERAS 39 28043,2019-05-24T00:00:00Z,MU-51
79119,ROSAS,SAN BLAS - CANILLEJAS,40.42262204,-3.60040702,PASEO GINEBRA 55 28022,2022-06-22T00:00:00Z,ACB
88068,PUEBLO NUEVO,CIUDAD LINEAL,40.42946502,-3.63215208,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 70 28037,2021-09-24T00:00:00Z,MU-51
88155,PUEBLO NUEVO,CIUDAD LINEAL,40.43001728,-3.63839639,CALLE FRANCISCO RIOJA 14 28017,2021-09-30T00:00:00Z,MU-51
94293,APOSTOL SANTIAGO,HORTALEZA,40.4785149,-3.65284889,CARRETERA ESTACION DE HORTALEZA 11 28033,2021-09-23T00:00:00Z,MU-51
94479,ALAMEDA DE OSUNA,BARAJAS,40.46321347,-3.58731337,AVENIDA LOGROÑO 231 28042,2021-05-06T00:00:00Z,MU-51
65534,CANILLAS,HORTALEZA,40.46390383,-3.65089295,CALLE AGUSTIN CALVO 8 28043,2019-06-14T00:00:00Z,MU-51
