PK,NOMBRE,HORARIO,NUMERO-PLAZAS,ACCESIBILIDAD,CLASE-VIAL,CALLE_ID,CODIGO-POSTAL,BARRIO,same_as_wikidata_BARRIO,BARRIO_ID,DISTRITO,same_as_wikidata_DISTRITO
13452,Aparcamiento público. Almagro,,463,No accesible,Calle Almagro,CalleAlmagro,28010,Almagro,https://wikidata.org/entity/Q10954432,Almagro,Chamberí,https://wikidata.org/entity/Q1763370
7393089,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),,376,Accesible,Calle Cartagena,CalleCartagena,28002,Ciudad Jardín,https://wikidata.org/entity/Q3773744,CiudadJardín,Chamartín,https://wikidata.org/entity/Q1766348
13473,Aparcamiento público. Descalzas,,400,Accesible,Plaza Descalzas,PlazaDescalzas,28013,Sol,https://wikidata.org/entity/Q2465181,Sol,Centro,https://wikidata.org/entity/Q1763376
13478,Aparcamiento público. Glorieta Puerta de Toledo,,240,Accesible,Glorieta Puerta De Toledo,GlorietaPuertaDeToledo,28005,Embajadores,https://wikidata.org/entity/Q2449844,Embajadores,Centro,https://wikidata.org/entity/Q1763376
13467,Aparcamiento público. Las Cortes,,480,Accesible,Plaza Cortes,PlazaCortes,28014,Cortes,https://wikidata.org/entity/Q2535637,Cortes,Centro,https://wikidata.org/entity/Q1763376
13449,Aparcamiento público. Luna - Tudescos,,481,Accesible,Plaza Santa María Soledad Torres Acosta,PlazaSantaMaríaSoledadTorresAcosta,28004,Universidad,https://wikidata.org/entity/Q10387767,Universidad,Centro,https://wikidata.org/entity/Q1763376
13469,Aparcamiento público. Marqués de Urquijo,,482,No accesible,Calle Marqués De Urquijo,CalleMarquésDeUrquijo,28008,Argüelles,https://wikidata.org/entity/Q64874,Argüelles,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682
13451,Aparcamiento público. Mostenses,,361,Accesible,Calle García Molinas,CalleGarcíaMolinas,28015,Universidad,https://wikidata.org/entity/Q10387767,Universidad,Centro,https://wikidata.org/entity/Q1763376
88141,Aparcamiento público. Museo de la Ciudad,,147,No accesible,Calle Príncipe De Vergara,CallePríncipeDeVergara,28002,Ciudad Jardín,https://wikidata.org/entity/Q3773744,CiudadJardín,Chamartín,https://wikidata.org/entity/Q1766348
13450,Aparcamiento público. Olavide,,397,No accesible,Plaza Olavide,PlazaOlavide,28010,Trafalgar,https://wikidata.org/entity/Q10384027,Trafalgar,Chamberí,https://wikidata.org/entity/Q1763370
