ID_Punto,DISTRITO,WIKIDATA_DISTRITO,BARRIO,WIKIDATA_BARRIO,ID_BARRIO,UBICACIÓN,CALLE,CALLE_ID,Nº_EQUIPOS,Mennekes_KW,CHAdeMO_KW,CCS_KW,Mennekes_Conectores,CHAdeMO_Conectores,CCS_Conectores,OPERADOR,FECHA_ALTA,HORARIO
13_VP,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,Castellana,Calle Velázquez 74,Calle Velázquez,CalleVelázquez,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
14_VP,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,Castellana,Paseo Castellana 52,Paseo Castellana,PaseoCastellana,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
15_VP,Chamartín,https://wikidata.org/entity/Q1766348,El Viso,https://wikidata.org/entity/Q4778,ElViso,Paseo Castellana 106,Paseo Castellana,PaseoCastellana,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
16_VP,Chamartín,https://wikidata.org/entity/Q1766348,Hispanoamérica,https://wikidata.org/entity/Q3814573,Hispanoamérica,Paseo Castellana 160,Paseo Castellana,PaseoCastellana,2,50,"150, 50","150, 50",1,3,3,REPSOL,2022-02-03T15:21:24Z,"24"
17_VP,Chamartín,https://wikidata.org/entity/Q1766348,Castilla,https://wikidata.org/entity/Q3813735,Castilla,Calle Cardenal Marcelo Spínola 6,Calle Cardenal Marcelo Spínola,CalleCardenalMarceloSpínola,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
18_VP,Chamberí,https://wikidata.org/entity/Q1763370,Arapiles,https://wikidata.org/entity/Q10856744,Arapiles,Calle Fernández de los Ríos 42,Calle Fernández de los Ríos,CalleFernándezdelosRíos,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
19_VP,Chamberí,https://wikidata.org/entity/Q1763370,Arapiles,https://wikidata.org/entity/Q10856744,Arapiles,Plaza del Conde de Valle de Suchil,Plaza del Conde de Valle de Suchil,PlazadelCondedeValledeSuchil,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
20_VP,Chamberí,https://wikidata.org/entity/Q1763370,Trafalgar,https://wikidata.org/entity/Q10384027,Trafalgar,Calle Fuencarral 114,Calle Fuencarral,CalleFuencarral,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
21_VP,Chamberí,https://wikidata.org/entity/Q1763370,Trafalgar,https://wikidata.org/entity/Q10384027,Trafalgar,Calle Manuel Silvela 16,Calle Manuel Silvela,CalleManuelSilvela,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
03_CoCe20,Chamartín,https://wikidata.org/entity/Q1766348,Nueva España,https://wikidata.org/entity/Q10338128,NuevaEspaña,"Avenida Alberto Alcocer, 11",Avenida Alberto Alcocer,AvenidaAlbertoAlcocer,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,"24"
22_VP,Chamberí,https://wikidata.org/entity/Q1763370,Trafalgar,https://wikidata.org/entity/Q10384027,Trafalgar,Calle Santa Engracia 115,Calle Santa Engracia,CalleSantaEngracia,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
23_VP,Chamberí,https://wikidata.org/entity/Q1763370,Almagro,https://wikidata.org/entity/Q10954432,Almagro,Paseo Castellana 33,Paseo Castellana,PaseoCastellana,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
24_VP,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,La Paz,https://wikidata.org/entity/Q5869740,LaPaz,Calle de Sinesio Delgado 2,Calle de Sinesio Delgado,CalledeSinesioDelgado,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
