ESTACION,ID_Punto,DISTRITO,BARRIO,ID_BARRIO,UBICACIÓN,CALLE,CALLE_ID,Nº_EQUIPOS,Mennekes_KW,CHAdeMO_KW,CCS_KW,Mennekes_Conectores,CHAdeMO_Conectores,CCS_Conectores,OPERADOR,FECHA_ALTA,HORARIO
Punto de carga 04_CoCe18,04_CoCe18,Fuencarral - El Pardo,Valverde,Valverde,Calle Abetal 8,Calle Abetal,CalleAbetal,2,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 05_CoCe18,05_CoCe18,Moncloa - Aravaca,Ciudad Universitaria,CiudadUniversitaria,Hipódromo,Hipódromo,Hipódromo,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 06_CoCe18,06_CoCe18,Moncloa - Aravaca,El Plantío,ElPlantío,El Plantío,El Plantío,ElPlantío,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 07_CoCe18,07_CoCe18,Latina,Cuatro Vientos,CuatroVientos,Paseo de Extremadura 543,Paseo de Extremadura,PaseodeExtremadura,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 08_CoCe18,08_CoCe18,Latina,Cuatro Vientos,CuatroVientos,Avenida de la Peseta,Avenida de la Peseta,AvenidadelaPeseta,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 09_CoCe18,09_CoCe18,Latina,Águilas,Águilas,Calle de José Cadalso,Calle de José Cadalso,CalledeJoséCadalso,1,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
Punto de carga 10_CoCe18,10_CoCe18,Puente de Vallecas,Palomeras Sureste,PalomerasSureste,Avenida de la Albufera 319,Avenida de la Albufera,AvenidadelaAlbufera,2,50,50,50,1,2,2,ECOLINERAS,2022-02-03T15:21:24Z,24
Punto de carga 11_CoCe18,11_CoCe18,Hortaleza,Valdefuentes,Valdefuentes,Calle de María de Portugal 15,Calle de María de Portugal,CalledeMaríadePortugal,1,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 12_CoCe18,12_CoCe18,Villaverde,Butarque,Butarque,Avenida de los Rosales 147 M-301,Avenida de los Rosales,AvenidadelosRosales,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 13_CoCe18,13_CoCe18,Villa de Vallecas,Ensanche de Vallecas,EnsanchedeVallecas,"Calle Real de Arganda, 75",Calle Real de Arganda,CalleRealdeArganda,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 14_CoCe18,14_CoCe18,San Blas - Canillejas,Rejas,Rejas,"Calle de Fuentelencina, 50",Calle de Fuentelencina,CalledeFuentelencina,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 01_EMT,01_EMT,Centro,Sol,Sol,Plaza de Jacinto Benavente 6,Plaza de Jacinto Benavente,PlazadeJacintoBenavente,1,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,24
Punto de carga 02_EMT,02_EMT,Salamanca,Recoletos,Recoletos,Jardines del Descubrimiento,Jardines del Descubrimiento,JardinesdelDescubrimiento,4,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,24
Punto de carga 03_EMT,03_EMT,Salamanca,Lista,Lista,Plaza de Marqués de Salamanca,Plaza de Marqués de Salamanca,PlazadeMarquésdeSalamanca,1,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,24
Punto de carga 04_EMT,04_EMT,Chamartín,Castilla,Castilla,Calle de la Hiedra 36,Calle de la Hiedra,CalledelaHiedra,2,50,50,50,1,2,2,EMT,2022-02-03T15:21:24Z,24
Punto de carga 01_PRIV,01_PRIV,Centro,Palacio,Palacio,Plaza de la Cebada,Plaza de la Cebada,PlazadelaCebada,1,,50,50,0,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
Punto de carga 02_PRIV,02_PRIV,Centro,Universidad,Universidad,Calle Alberto Aguilera 9,Calle Alberto Aguilera,CalleAlbertoAguilera,1,,50,50,0,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 03_PRIV,03_PRIV,Retiro,Adelfas,Adelfas,Plaza del Conde de Casal 6,Plaza del Conde de Casal,PlazadelCondedeCasal,2,,50,50,0,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
Punto de carga 04_PRIV,04_PRIV,Fuencarral - El Pardo,El Goloso,ElGoloso,"Calle Monasterio de Arlanza, 20",Calle Monasterio de Arlanza,CalleMonasteriodeArlanza,2,,50,50,0,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 05_PRIV,05_PRIV,Hortaleza,Canillas,Canillas,Avenida de Machupichu 105,Avenida de Machupichu,AvenidadeMachupichu,1,,50,50,0,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 06_PRIV,06_PRIV,Hortaleza,Valdefuentes,Valdefuentes,Avenida de Niceto Alcala Zamora 20,Avenida de Niceto Alcala Zamora,AvenidadeNicetoAlcalaZamora,1,,50,50,0,2,2,GIC/ GALP,2022-02-03T15:21:24Z,24
Punto de carga 07_PRIV,07_PRIV,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,"Avenida Eje Central, 7",Avenida Eje Central,AvenidaEjeCentral,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,24
Punto de carga 08_PRIV,08_PRIV,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Carretera de Villaverde a Vallecas 278,Carretera de Villaverde a Vallecas,CarreteradeVillaverdeaVallecas,1,,50,50,0,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 09_PRIV,09_PRIV,Barajas,Corralejos,Corralejos,Avenida del Consejo de Europa 2,Avenida del Consejo de Europa,AvenidadelConsejodeEuropa,4,,,350,0,0,1,GIC / CEPSA,2022-02-03T15:21:24Z,24
Punto de carga 10_PRIV,10_PRIV,Barajas,Corralejos,Corralejos,Avenida del Partenón 5,Avenida del Partenón,AvenidadelPartenón,2,,50,50,0,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 1_PropDG,1_PropDG,Arganzuela,Palos de Moguer,PalosdeMoguer,"Calle del General Lacy, 21",Calle del General Lacy,CalledelGeneralLacy,3,22,"100, 50","100, 50",1,3,3,TOTALENERGIES,2022-02-03T15:21:24Z,24
Punto de carga 22_PropDG,22_PropDG,Moratalaz,Pavones,Pavones,Calle Hacienda de Pavones 231,Calle Hacienda de Pavones,CalleHaciendadePavones,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 27_PropDG,27_PropDG,Hortaleza,Pinar del Rey,PinardelRey,Glorieta De Sandro Pertini,Glorieta De Sandro Pertini,GlorietaDeSandroPertini,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 30_PropDG,30_PropDG,Villaverde,Los Rosales,LosRosales,Calle de Santa Florencia,Calle de Santa Florencia,CalledeSantaFlorencia,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 35_PropDG,35_PropDG,Vicálvaro,Valderrivas,Valderrivas,"Calle de Minerva, 17",Calle de Minerva,CalledeMinerva,3,22,"100, 50","100, 50",1,3,3,TOTALENERGIES,2022-02-03T15:21:24Z,24
Punto de carga 3_MerM,3_MerM,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Avenida de Legazpi,Avenida de Legazpi,AvenidadeLegazpi,2,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
Punto de carga 5_MerM,5_MerM,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Avenida de Legazpi,Avenida de Legazpi,AvenidadeLegazpi,1,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
Punto de carga 6_MerM,6_MerM,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Avenida Arganzuela,Avenida Arganzuela,AvenidaArganzuela,1,50,50,50,1,2,2,GIC (CIRCUTOR),2022-02-03T15:21:24Z,24
Punto de carga 07_VP,07_VP,Retiro,Ibiza,Ibiza,Calle Ibiza 1,Calle Ibiza,CalleIbiza,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 09_VP,09_VP,Retiro,Jerónimos,Jerónimos,Plaza de la Lealtad,Plaza de la Lealtad,PlazadelaLealtad,2,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 10_CoCe20,10_CoCe20,Carabanchel,Buenavista,Buenavista,"Calle Hilario Herranz Establos, 20",Calle Hilario Herranz Establos,CalleHilarioHerranzEstablos,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 08_CoCe20,08_CoCe20,Moncloa - Aravaca,Argüelles,Argüelles,"Calle Marqués de Urquijo, 27",Calle Marqués de Urquijo,CalleMarquésdeUrquijo,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 19_CoCe20,19_CoCe20,Villaverde,"Villaverde Alto, Casco Histórico de Villaverde","VillaverdeAlto,CascoHistóricodeVillaverde","Calle Valle de Tobalina, 24",Calle Valle de Tobalina,CalleValledeTobalina,1,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 04_CoCe20,04_CoCe20,Tetuán,Cuatro Caminos,CuatroCaminos,Calle Bravo Murillo 122,Calle Bravo Murillo,CalleBravoMurillo,2,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
