 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
12533852;"Yincana 'Salvemos la Tierra'";"";"1";"0";"";"";"2024-10-27 00:00:00.0";"2024-10-27 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9630a830c322910VgnVCM2000001f4a900aRCRD";"Yincana 'Salvemos la Tierra'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=156731f8144d2810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=97521076c081c010VgnVCM1000000b205a0aRCRD";"Aula ambiental La Cabaña del Retiro";"1";"PASEO";"FERNAN NUÑEZ";"10";"RETIRO";"LOS JERONIMOS";"28009";"442360";"4473388";"40.40912277790706";"-3.6793179644920584";"/contenido/actividades/ItinerariosOtrasActividadesAmbientales";"/usuario/Niños"
12553115;"Yo soy Mari Trini";"";"0";"0";"";"";"2024-11-28 00:00:00.0";"2024-11-28 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f391f6b384a72910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12553152;"Yoga y Mindfulness";"";"1";"0";"";"";"2024-10-20 00:00:00.0";"2024-10-20 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=73d3f6b384a72910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro)";"1,6";"PASEO";"FERNÁN NÚÑEZ";"24";"RETIRO";"LOS JERONIMOS";"28009";"442345";"4474221";"40.4166091081099";"-3.6795930368034804";"/contenido/actividades/CursosTalleres";""
12535142;"Zarzuela, Copla y Canción Española";"";"1";"0";"";"";"2024-10-18 00:00:00.0";"2024-10-18 23:59:00.0";"19:00";"XII CICLO DE ZARZUELA DISTRITO DE LATINA Musical 'Zarzuela, Copla y Canción Española', por Arco Iris Cantores.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6de19e40e2922910VgnVCM2000001f4a900aRCRD";"Programa de actividades en el Centro Cultural José Luis Sampedro (Latina)";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=044239c8e2993510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD";"Centro Cultural José Luis Sampedro (Latina)";"1";"CALLE";"CASTROSERNA";"4";"LATINA";"LUCERO";"28047";"436432";"4472601";"40.40159394334669";"-3.749110841406562";"/contenido/actividades/Musica/Zarzuela";""
12336472;"Zona de sacrificio";"";"1";"1";"L,M,X,J,V,S,D";"";"2024-09-11 00:00:00.0";"2024-10-20 23:59:00.0";"";"Exposición en el Silo de Hortaleza. PHOTOESPAÑA  Autora: Cata Rego. Zona de sacrificio muestra diferentes lugares en Galicia que han sido designados para la producción de recursos naturales, reflexionando sobre el impacto que esto ha tenido en el paisaje y los efectos del proceso de degradación de un territorio.  Las zonas de sacrificio son áreas geográficas, generalmente de alta concentración industrial o gran valor natural, destinadas a la explotación y obtención de algún tipo de recurso. Se documenta así la huella en el paisaje que la explotación del agua, la tierra y el viento ha dejado en Galicia. Asumiendo el paisaje como una forma de identidad territorial, embalses, minas, plantaciones de eucalipto y parques eólicos, han modificado durante décadas un territorio en el que las cicatrices de estas prácticas son cada vez más patentes. Premio Descubrimientos PHE.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5edb3faa8d9e810VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Cultural Huerta de la Salud";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0d3923f64f68d610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Huerta de la Salud (Hortaleza)";"1";"CALLE";"MAR DE LAS ANTILLAS";"8";"HORTALEZA";"PINAR DEL REY";"28033";"445279";"4480662";"40.47484735634347";"-3.645543866498554";"/contenido/actividades/Exposiciones";""
12543534;"Zootropolis";"";"1";"0";"";"";"2024-11-23 00:00:00.0";"2024-11-23 23:59:00.0";"18:00";"Compañía:  Tanalborde Teatro La moderna metrópoli mamífera de Zootrópolis es una ciudad absolutamente única. Está compuesta de barrios con diferentes hábitats como la lujosa Sahara Square y la gélida Tundratown. Es un crisol donde los animales de cada entorno conviven, un lugar donde no importa lo que seas. De hecho puedes ser cualquier cosa, desde un elefante enorme hasta la musaraña más diminuta. Pero cuando llega la optimista agente Judy Hopps, descubre que ser la primera conejita de un cuerpo policial compuesto de animales duros y enormes no es nada fácil. Duración: 108 min. Edad: para todos los públicos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=109e956aaac42910VgnVCM1000001d4a900aRCRD";"Actividades en el Teatro Municipal Villa de Vallecas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7bf62d24e6f61910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD";"Teatro Municipal de Vallecas";"1";"CALLE";"PASO DE VILLAMANRIQUE";"3";"VILLA DE VALLECAS";"CASCO H.VALLECAS";"28031";"447122";"4469857";"40.37762362093048";"-3.6229095774784765";"/contenido/actividades/CineActividadesAudiovisuales";"/usuario/Niños"
12544463;"'The maltese falcon' (film, 1941)";"";"1";"0";"";"";"2024-12-11 00:00:00.0";"2024-12-11 23:59:00.0";"19:00";"Conferencia en inglés sobre novela negra.Imparte Rafael López Berho, profesor de la Escuela Oficial de Idiomas.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=289f1f9d33152910VgnVCM1000001d4a900aRCRD";"Ciclo 'Detective Fiction, a history of crime novel'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=170c1f9d33152910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"1,6";"CALLE";"SAN JUSTO";"5";"CENTRO";"PALACIO";"28005";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/ConferenciasColoquios";""
12341470;"'Animalitos y animalotes'";"";"1";"0";"";"";"2024-10-29 00:00:00.0";"2024-10-29 23:59:00.0";"18:00";"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteras y cuenteros nos acercan a través de su creatividad y su magia.  Este cuento está pensado para niñas y niños a partir de 2 a 4 años.   La entrada es libre hasta completar aforo.   Recuerda que los niños y niñas deberán ir acompañados por una persona adulta.   Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de Nelson Calderón.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=684f04b09bcbe810VgnVCM2000001f4a900aRCRD";"Cuentacuentos del 21 al 31 de octubre";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e08d8f8c825d9810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Huerta de la Salud (Hortaleza)";"1";"CALLE";"MAR DE LAS ANTILLAS";"10";"HORTALEZA";"PINAR DEL REY";"28033";"445295";"4480968";"40.47571688103069";"-3.64667257750353";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños"
12542681;"'Bichos'";"";"1";"0";"";"";"2024-10-16 00:00:00.0";"2024-10-16 23:59:00.0";"17:30";"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.  Este cuento está pensado para bebés de 0 a 18 meses. Para asistir es necesario realizar  inscripción previa a través de este enlace.  La biblioteca se pondrá en contacto contigo para confirmar tu asistencia. Se celebrarán dos sesiones de media hora de duración, a las 17:30 y a las 18:00 horas.  Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía de la mano de Margalida Alberti.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d17f3bfbe742910VgnVCM1000001d4a900aRCRD";"Bebecuentos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=29805b097f75e710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Francisco Ayala (Vicálvaro)";"1,6";"BULEVAR";"INDALECIO PRIETO";"21";"VICALVARO";"VALDEBERNARDO";"28032";"447278";"4472321";"40.39982891410407";"-3.621281890570377";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños"
12534026;"'Bienvaler' de Miguel Sánchez Santamaría";"";"1";"0";"";"";"2024-10-18 00:00:00.0";"2024-10-18 23:59:00.0";"19:00";"Espectáculo de poesía escénica, interpretado por el poeta Miguel Sánchez Santamaría, quien ostenta el I Premio Nacional de Poesía Viva #LdeLírica en 2019, que presenta su primera publicación 'Bienvaler'.  Un poemario que es un camino: el del lenguaje poético que atraviesa la vida, que atraviesa el dolor, que atraviesa el misterio.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=92f43f404f722910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c957cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Sara Montiel (Latina)";"1";"CARRETERA";"BOADILLA DEL MONTE";"40";"LATINA";"CAMPAMENTO";"28024";"434222";"4472418";"40.399764677637116";"-3.775144917950534";"/contenido/actividades/Musica";""
