article_id,name,description,uri
1,README_NO2.md,"For NO2 dataset, provides description of columns",https://zenodo.org/records/7613527/files/README_NO2.md
2,README_PM25.md,"For PM2.5 dataset, provides description of columns",https://zenodo.org/records/7613527/files/README_PM25.md
