dataset_id,name,description,uri,scholarly_article_id,readme_id
1,20220408_NO2_Traffic.csv,Observations pertaining to NO2,https://zenodo.org/records/7613527/files/20220408_NO2_Traffic.csv,1,1
2,20220408_PM25_Traffic.csv,Observations pertaining to PM25,https://zenodo.org/records/7613527/files/20220408_PM25_Traffic.csv,1,2
