"property","value"
"http://www.w3.org/2000/01/rdf-schema#comment","Aptripel Tumimomor (3 de abril de 1966 - 2 de abril de 2020) fue un político, empresario e ingeniero indonesio. Se desempeñó como Regente de la Regencia del Norte de Morowali, en Sulawesi Central, desde el 17 de febrero de 2016, hasta su muerte en el cargo el 2 de abril de 2020, de COVID-19."
"http://www.w3.org/2000/01/rdf-schema#comment","María Aránzazu «Arancha» González Laya (San Sebastián, 22 de mayo de 1969) es la ministra de Asuntos Exteriores, Unión Europea y Cooperación de España.​ Anteriormente, desde 2013, había sido directora ejecutiva del Centro de Comercio Internacional (ITC) ​ y subsecretaria general de la Organización de las Naciones Unidas (ONU)."
"http://www.w3.org/2000/01/rdf-schema#comment","Archer Kent Blood (Chicago, 20 de marzo de 1923 – Fort Collins, 3 de septiembre de 2004) fue un diplomático y académico estadounidense. Fue el último Cónsul General de Estados Unidos en Daca, Bangladés (en entonces Pakistán Oriental). Es famoso por su duro mensaje en el ''Telegrama Blood'', en donde protestaba contra las atrocidades cometidas durante la Guerra de Liberación de Bangladés. También realizó servicios en Grecia, Argelia, Alemania, Afganistán y acabó su carrera cuando encargado de negocios de la Embajada de Estados Unidos en Nueva Delhi, India, retirándose en 1982."
"http://www.w3.org/2000/01/rdf-schema#comment","Ariela María de los Milagros Luna Florez (21 de octubre de 1958) es una médico y antropóloga peruana. Fue Ministra de Desarrollo e Inclusión Social del Perú desde el 29 de octubre de 2019 hasta el 15 de julio de 2020 durante el Gobierno de Martín Vizcarra.​"
"http://www.w3.org/2000/01/rdf-schema#comment","Arnulfo Gasca Trujillo (2 de octubre de 1953), Municipio de Puerto Milán Caquetá, Colombia. Es empresario del sector rural, político y gobernador del departamento del Caquetá en el periodo 2020-2023.​"
"http://www.w3.org/2000/01/rdf-schema#comment","Luis Arturo Zúñiga Jory​ (Santiago, 1 de diciembre de 1982)​ es un ingeniero comercial y político chileno. Desde el 11 de julio de 2019 se desempeña como subsecretario de Redes Asistenciales en el Minsal, bajo el segundo mandato del presidente Sebastián Piñera.​"
"http://www.w3.org/2000/01/rdf-schema#comment","Ascensión Pastor Parres (Bilbao, 18 de enero de 1942) es Doctora en Historia y Ciencias Jurídicas del Derecho​. Es profesora titular de Historia del Derecho en la Universidad de Deusto y política del Partido Popular."
"http://www.w3.org/2000/01/rdf-schema#comment","Ashok-Alexander Sridharan es un político alemán de ascendencia india quién es el Alcalde actual de Bonn como miembro de la Unión Democrática cristiana de Alemania (CDU). Es el primer alcalde de Bonn para ser de fondo inmigrante.​"
"http://www.w3.org/2000/01/rdf-schema#comment","Aslan Georgievich Bzhania (en abjasio: Аслан Гьаргь-иҧа Бжьаниа, en ruso: Аслан Георгиевич Бжания; , 6 de abril de 1963) es un político abjasio que se desempeña como Presidente de Abjasia desde el 23 de abril de 2020. Fue el jefe del Servicio de Seguridad del Estado, y uno de los líderes de la oposición en Abjasia."
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Adame_Ba_Konaré"
