MAGNITUD,PUNTO_MUESTREO,ID_TIEMPO,MEDIDA
SO2,28079004,24_1_1,2
SO2,28079004,24_1_2,3
SO2,28079004,24_1_3,2
SO2,28079004,24_1_4,2
SO2,28079004,24_1_5,2
SO2,28079004,24_1_6,2
SO2,28079004,24_1_7,2
SO2,28079004,24_1_8,2
SO2,28079004,24_1_9,2
SO2,28079004,24_1_10,2
SO2,28079004,24_1_11,2
SO2,28079004,24_1_12,2
SO2,28079004,24_1_13,3
SO2,28079004,24_1_14,3
SO2,28079004,24_1_15,2
SO2,28079004,24_1_16,2
SO2,28079004,24_1_17,2
SO2,28079004,24_1_18,2
SO2,28079004,24_1_19,2
SO2,28079004,24_1_20,2
SO2,28079004,24_1_21,3
SO2,28079004,24_1_22,3
SO2,28079004,24_1_23,5
SO2,28079004,24_1_24,6
SO2,28079004,24_1_25,6
SO2,28079004,24_1_26,5
SO2,28079004,24_1_27,3
SO2,28079004,24_1_28,2
SO2,28079004,24_1_29,3
SO2,28079004,24_1_30,3
SO2,28079004,24_1_31,3
SO2,28079004,24_2_1,3
SO2,28079004,24_2_2,2
SO2,28079004,24_2_3,2
SO2,28079004,24_2_4,2
SO2,28079004,24_2_5,4
SO2,28079004,24_2_6,3
SO2,28079004,24_2_7,1
SO2,28079004,24_2_8,2
SO2,28079004,24_2_9,1
SO2,28079004,24_2_10,2
SO2,28079004,24_2_11,1
SO2,28079004,24_2_12,1
SO2,28079004,24_2_13,2
SO2,28079004,24_2_14,3
SO2,28079004,24_2_15,3
SO2,28079004,24_2_16,2
SO2,28079004,24_2_17,2
SO2,28079004,24_2_18,2
SO2,28079004,24_2_19,3
SO2,28079004,24_2_20,3
SO2,28079004,24_2_21,3
SO2,28079004,24_2_22,2
SO2,28079004,24_2_23,1
SO2,28079004,24_2_24,1
SO2,28079004,24_2_25,1
SO2,28079004,24_2_26,2
SO2,28079004,24_2_27,2
SO2,28079004,24_2_28,2
SO2,28079004,24_2_29,2
SO2,28079004,24_3_1,2
SO2,28079004,24_3_2,1
SO2,28079004,24_3_3,1
SO2,28079004,24_3_4,1
SO2,28079004,24_3_5,2
SO2,28079004,24_3_6,2
SO2,28079004,24_3_7,2
SO2,28079004,24_3_8,1
SO2,28079004,24_3_9,1
SO2,28079004,24_3_10,1
SO2,28079004,24_3_11,2
SO2,28079004,24_3_12,3
SO2,28079004,24_3_13,3
SO2,28079004,24_3_14,2
SO2,28079004,24_3_15,3
SO2,28079004,24_3_16,2
SO2,28079004,24_3_17,3
SO2,28079004,24_3_18,3
SO2,28079004,24_3_19,3
