id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city,district,madrid_district_URI_from_wikidata
FreePlace1,-3.6703816,40.4626466,"'28016,ES,Madrid,Madrid,Calle de Santa maría magdalena 16,Madrid'",28016,ES,Madrid,Madrid,Calle de Santa maría magdalena 16,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace2,-3.6698983,40.4822616,"'28033,ES,Madrid,Madrid,Calle de Caleruega 68,Madrid'",28033,ES,Madrid,Madrid,Calle de Caleruega 68,Madrid,Ciudad Lineal,https://wikidata.org/entity/Q1763694
FreePlace3,-3.682395,40.47662,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace4,0.0,0.0,"'28909,ES,Madrid,Madrid,Camino de los Salmedina ,Madrid'",28909,ES,Madrid,Madrid,Camino de los Salmedina,Madrid,,
FreePlace5,-3.6822,40.4769666,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace6,-3.6823683,40.4768849,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace7,-3.6904133,40.4074666,"'28007,ES,Madrid,Madrid,Plaza del Embarcadero de atocha ,Madrid'",28007,ES,Madrid,Madrid,Plaza del Embarcadero de atocha,Madrid,Arganzuela,https://wikidata.org/entity/Q2000929
FreePlace8,-3.6958516,40.416165,"'28014,ES,Madrid,Madrid,Calle del Marqués de cubas 18,Madrid'",28014,ES,Madrid,Madrid,Calle del Marqués de cubas 18,Madrid,Centro,https://wikidata.org/entity/Q1763376
FreePlace9,-3.6880866,40.4247483,"'28001,ES,Madrid,Madrid,Calle de Serrano ,Madrid'",28001,ES,Madrid,Madrid,Calle de Serrano,Madrid,Salamanca,https://wikidata.org/entity/Q1773521
FreePlace10,-3.6824833,40.4766716,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace11,-3.7042166,40.3921583,"'28026,ES,Madrid,Madrid,Calle de Antonio lópez 118,Madrid'",28026,ES,Madrid,Madrid,Calle de Antonio lópez 118,Madrid,Usera,https://wikidata.org/entity/Q953368
FreePlace12,-3.682355,40.4766399,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace13,-3.6660449,40.492315,"'28050,ES,Madrid,Madrid,Calle de Ana de austria 4,Madrid'",28050,ES,Madrid,Madrid,Calle de Ana de austria 4,Madrid,Hortaleza,https://wikidata.org/entity/Q1928529
FreePlace14,-3.6681799,40.4884966,"'28050,ES,Madrid,Madrid,Calle de Oña 7,Madrid'",28050,ES,Madrid,Madrid,Calle de Oña 7,Madrid,Hortaleza,https://wikidata.org/entity/Q1928529
FreePlace15,-3.660185,40.4100833,"'28030,ES,Madrid,Madrid,Calle del Camino de los vinateros 12,Madrid'",28030,ES,Madrid,Madrid,Calle del Camino de los vinateros 12,Madrid,Moratalaz,https://wikidata.org/entity/Q2076109
FreePlace16,-3.659145,40.4127333,"'28030,ES,Madrid,Madrid,Calle de Manuel machado 16B,Madrid'",28030,ES,Madrid,Madrid,Calle de Manuel machado 16B,Madrid,Moratalaz,https://wikidata.org/entity/Q2076109
FreePlace17,-3.7105616,40.4498883,"'28039,ES,Madrid,Madrid,Avenida de Pablo iglesias 47,Madrid'",28039,ES,Madrid,Madrid,Avenida de Pablo iglesias 47,Madrid,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682
FreePlace18,-3.670535,40.4820466,"'28033,ES,Madrid,Madrid,Calle de Caleruega 60,Madrid'",28033,ES,Madrid,Madrid,Calle de Caleruega 60,Madrid,Ciudad Lineal,https://wikidata.org/entity/Q1763694
FreePlace19,-3.7803333,40.3808783,"'28044,ES,Madrid,Madrid,Avenida de las Águilas 147,Madrid'",28044,ES,Madrid,Madrid,Avenida de las Águilas 147,Madrid,Latina,https://wikidata.org/entity/Q794954
FreePlace20,-3.682555,40.4768933,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace21,-3.61634,40.4979366,"'28055,ES,Madrid,Madrid,Calle de Luis moya blanco 78,Madrid'",28055,ES,Madrid,Madrid,Calle de Luis moya blanco 78,Madrid,Hortaleza,https://wikidata.org/entity/Q1928529
FreePlace22,-3.6823583,40.4770216,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace23,-3.6682383,40.459755,"'28016,ES,Madrid,Madrid,Jardín de Miguel ángel blanco ,Madrid'",28016,ES,Madrid,Madrid,Jardín de Miguel ángel blanco,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace24,-3.6569983,40.42917,"'28017,ES,Madrid,Madrid,Calle de Ignacio ellacuria 6,Madrid'",28017,ES,Madrid,Madrid,Calle de Ignacio ellacuria 6,Madrid,Ciudad Lineal,https://wikidata.org/entity/Q1763694
FreePlace25,-3.6866899,40.4168483,"'28009,ES,Madrid,Madrid,Paseo de Argentina 2,Madrid'",28009,ES,Madrid,Madrid,Paseo de Argentina 2,Madrid,Retiro,https://wikidata.org/entity/Q2002296
FreePlace26,-3.6714883,40.4668,"'28016,ES,Madrid,Madrid,Calle del Cardenal marcelo spínola 4,Madrid'",28016,ES,Madrid,Madrid,Calle del Cardenal marcelo spínola 4,Madrid,Chamartín,https://wikidata.org/entity/Q1766348
FreePlace27,-3.7178216,40.4342216,"'28015,ES,Madrid,Madrid,Calle de Fernando el católico 88,Madrid'",28015,ES,Madrid,Madrid,Calle de Fernando el católico 88,Madrid,Chamberí,https://wikidata.org/entity/Q1763370
FreePlace28,-3.7059933,40.4149033,"'28012,ES,Madrid,Madrid,Plaza de la Provincia 7,Madrid'",28012,ES,Madrid,Madrid,Plaza de la Provincia 7,Madrid,Centro,https://wikidata.org/entity/Q1763376
FreePlace29,-3.6828233,40.5019933,"'28034,ES,Madrid,Madrid,Calle de Antonio de cabezón 89,Madrid'",28034,ES,Madrid,Madrid,Calle de Antonio de cabezón 89,Madrid,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196
