id_station,station_name,latitude,longitude,address,type
72.0,68 - Espalter,-3.6912023,40.4128372,'Calle Espalter nº 1',STATION
73.0,69 - Puerta del Ángel Caído,-3.688822,40.409808,'Avenida de Alfonso XII nº 54',STATION
74.0,70 - Puerta del Doce de Octubre,-3.6779232,40.4153053,'Avenida de Menéndez Pelayo nº 63',STATION
75.0,71 - Doce de Octubre,-3.6738865,40.4159569,'Calle Doce de Octubre nº 28',STATION
76.0,72 - Sainz de Baranda,-3.6691838,40.4157413,'Calle Doctor Esquerdo nº 99',STATION
77.0,73 - Plaza de los Astros,-3.6689089,40.4114475,'Avenida de Nazaret nº 7',STATION
78.0,74 - Puerta del Pacífico,-3.6766813,40.4117627,'Avenida de Menéndez Pelayo nº 73',STATION
79.0,75 - Menéndez Pelayo,-3.6784838,40.4082805,'Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas',STATION
80.0,76 - Puerta de Mariano de Cavia,-3.6751352,40.4071304,'Avenida del Mediterráneo nº 19',STATION
81.0,77 - Conde de Casal,-3.670422,40.40635,'Plaza del Conde de Casal nº 8',STATION
82.0,78 - Pedro Bosch,-3.6744,40.400789,'Calle Cerro de la Plata nº 2',STATION
83.0,79 - Puerta de Granada,-3.6803874,40.4051451,'Avenida de Menéndez Pelayo nº 38',STATION
84.0,80a - Atocha A,-3.6902255,40.4075685,'Paseo de la Infanta Isabel nº 3',STATION
85.0,80b - Atocha B,-3.6901234,40.4074902,'Paseo de la Infanta Isabel nº 3',STATION
86.0,81 - Cuesta de Moyano,-3.691987,40.409297,'Cuesta de Claudio Moyano',STATION
87.0,82 - Niño Jesús,-3.6697526,40.4084556,'Calle Doctor Esquerdo nº 161',STATION
88.0,83 - Pío Baroja,-3.6745323,40.4132995,'Calle Pío Baroja nº 10',STATION
89.0,84 - Valderribas,-3.6726019,40.4032501,'Calle Doctor Esquerdo nº 191',STATION
90.0,85 - Puerta de Madrid,-3.680008,40.421501,'Avenida de Menéndez Pelayo esquina calle O'Donnell',STATION
91.0,86 - Cibeles,-3.6933498,40.4186516,'Plaza Cibeles',STATION
92.0,87 - Ayala,-3.6832566,40.427736,'Calle Ayala nº 44',STATION
93.0,88 - Embajada de Italia,-3.6838303,40.4313576,'Calle Velázquez nº 75',STATION
94.0,89 - Conde Peñalver,-3.6752024,40.4272582,'Calle Ayala nº 102',STATION
95.0,90 - General Pardiñas,-3.6837876,40.4250361,'Calle Goya nº 18',STATION
96.0,91 - Príncipe de Vergara,-3.6787441,40.426134,'Calle Hermosilla nº 70',STATION
97.0,92 - Claudio Coello,-3.6865463,40.4262945,'Calle Claudio Coello nº 45',STATION
98.0,93 - Plaza de Colón,-3.6893698,40.4257046,'Calle Goya nº 1',STATION
99.0,94 - Biblioteca Nacional,-3.690756,40.4232153,'Paseo de Recoletos nº 20',STATION
100.0,95 - Villanueva,-3.6870548,40.4226584,'Calle Claudio Coello nº 109',STATION
101.0,96 - Castelló,-3.6821793,40.422064,'Calle Alcalá nº 111',STATION
102.0,97 - Alcalá,-3.6805189,40.4222969,'Avenida de Menéndez Pelayo nº 3',STATION
103.0,98 - Plaza de Felipe II,-3.6758383,40.4239447,'Plaza de Felipe II',STATION
104.0,99 - Alcántara,-3.6738714,40.4261851,'Calle Alcántara nº 2',STATION
105.0,100 - Palacio de Deportes,-3.67384,40.42478,'Calle Goya nº 99',STATION
106.0,101 - Jorge Juan,-3.6691524,40.4231526,'Calle Jorge Juan nº 131',STATION
107.0,102 - Velázquez,-3.6840229,40.4211802,'Calle Alcalá nº 95',STATION
108.0,103 - Ortega y Gasset,-3.68653,40.43037,'Calle José Ortega y Gasset nº 4',STATION
109.0,104 - Castellana,-3.68958,40.42677,'Paseo de la Castellana nº 4',STATION
110.0,105 - Serrano,-3.68745,40.42699,'Calle Serrano nº 54',STATION
111.0,106a - Colón A,-3.6877227,40.4251002,'Calle Serrano nº 34',STATION
112.0,106b - Colón B,-3.687745,40.424963,'Calle Serrano nº 34',STATION
