id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city
FreePlace594,-3.6667849,40.4803833,"'28033,ES,Madrid,Madrid,Calle de Arturo soria 330,Madrid'",28033,ES,Madrid,Madrid,Calle de Arturo soria 330,Madrid
FreePlace595,-3.69837,40.4148033,"'28014,ES,Madrid,Madrid,Calle León 1,Madrid'",28014,ES,Madrid,Madrid,Calle León 1,Madrid
FreePlace596,-3.6681566,40.3960766,"'28053,ES,Madrid,Madrid,Calle de Peña gorbea 1,Madrid'",28053,ES,Madrid,Madrid,Calle de Peña gorbea 1,Madrid
FreePlace597,-3.7136966,40.446165,"'28040,ES,Madrid,Madrid,Calle de Beatriz de bobadilla 2,Madrid'",28040,ES,Madrid,Madrid,Calle de Beatriz de bobadilla 2,Madrid
FreePlace598,-3.6387016,40.4107883,"'28030,ES,Madrid,Madrid,Calle de José bergamín 22,Madrid'",28030,ES,Madrid,Madrid,Calle de José bergamín 22,Madrid
FreePlace599,-3.6704516,40.3887133,"'28053,ES,Madrid,Madrid,Avenida de San diego 27A,Madrid'",28053,ES,Madrid,Madrid,Avenida de San diego 27A,Madrid
FreePlace600,-3.6193933,40.4175066,"'28032,ES,Madrid,Madrid,Calle de Capri 20,Madrid'",28032,ES,Madrid,Madrid,Calle de Capri 20,Madrid
FreePlace601,-3.6824533,40.47668,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace602,-3.6823916,40.4767433,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace603,-3.7164066,40.398075,"'28019,ES,Madrid,Madrid,Glorieta Marqués de vadillo 8,Madrid'",28019,ES,Madrid,Madrid,Glorieta Marqués de vadillo 8,Madrid
FreePlace604,-3.6824983,40.4767066,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace605,-3.6823283,40.4767033,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace606,-3.6823383,40.4766683,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
