ID_Punto,GESTIÓN,DISTRITO,COD_DIS,BARRIO,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
13VP,Convenio vía pública,Salamanca,4,Castellana,6,Ejecutado,Calle Velázquez 74,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-11-21T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
14VP,Convenio vía pública,Salamanca,4,Castellana,6,Ejecutado,Paseo Castellana 52,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
15VP,Convenio vía pública,Chamartín,5,El Viso,1,Ejecutado,Paseo Castellana 106,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
16VP,Convenio vía pública,Chamartín,5,Hispanoamérica,4,Ejecutado,Paseo Castellana 160,Vía pública,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes. Equipo 150 kW: DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2023-08-30T09:50:58Z,24
17VP,Convenio vía pública,Chamartín,5,Castilla,6,Ejecutado,Calle Cardenal Marcelo Spínola 6,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-05-09T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
18VP,Convenio vía pública,Chamberí,7,Arapiles,2,Ejecutado,Calle Fernández de los Ríos 42,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
19VP,Convenio vía pública,Chamberí,7,Arapiles,2,Ejecutado,Plaza del Conde de Valle de Suchil,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-07-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
20VP,Convenio vía pública,Chamberí,7,Trafalgar,3,Ejecutado,Calle Fuencarral 114,Vía pública,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-10-15T22:00:00Z,2022-02-03T15:21:24Z,2023-02-03T13:52:16Z,24
21VP,Convenio vía pública,Chamberí,7,Trafalgar,3,Ejecutado,Calle Manuel Silvela 16,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,24
03CoCe20,Convenio cesión,Chamartín,5,Nueva España,5,Ejecutado,"Avenida Alberto Alcocer, 11",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-02-05T22:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:55:13Z,24
