ID_Punto,GESTIÓN,DISTRITO,same_as_wikidata_distrito,COD_DIS,BARRIO,same_as_wikidata_barrio,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
18VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Arapiles,https://wikidata.org/entity/Q10856744,2,Ejecutado,Calle Fernández de los Ríos 42,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
19VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Arapiles,https://wikidata.org/entity/Q10856744,2,Ejecutado,Plaza del Conde de Valle de Suchil,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-07-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
20VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Trafalgar,https://wikidata.org/entity/Q10384027,3,Ejecutado,Calle Fuencarral 114,Vía pública,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-10-15T22:00:00Z,2022-02-03T15:21:24Z,2023-02-03T13:52:16Z,"24"
21VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Trafalgar,https://wikidata.org/entity/Q10384027,3,Ejecutado,Calle Manuel Silvela 16,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
03CoCe20,Convenio cesión,Chamartín,https://wikidata.org/entity/Q1766348,5,Nueva España,https://wikidata.org/entity/Q10338128,5,Ejecutado,"Avenida Alberto Alcocer, 11",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-02-05T22:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:55:13Z,"24"
22VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Trafalgar,https://wikidata.org/entity/Q10384027,3,Ejecutado,Calle Santa Engracia 115,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2021-03-31T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,"24"
23VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Almagro,https://wikidata.org/entity/Q10954432,4,Ejecutado,Paseo Castellana 33,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-05-09T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,"24"
24VP,Convenio vía pública,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,La Paz,https://wikidata.org/entity/Q5869740,5,Ejecutado,Calle de Sinesio Delgado 2,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2021-01-30T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,"24"
25VP,Convenio vía pública,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,San Juan Bautista,https://wikidata.org/entity/Q165609,6,Ejecutado,Calle Bueso Pineda 29,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,"24"
01CoCe18,Convenio cesión,Centro,https://wikidata.org/entity/Q1763376,1,Palacio,https://wikidata.org/entity/Q2136510,1,Ejecutado,Mercado de la Cebada. Plaza de la Cebada,Mercado municipal,Mercado municipal,1,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,2020-05-11T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:31:29Z,"24"
