"a","count"
"http://es.dbpedia.org/property/sufColega",7
"http://es.dbpedia.org/property/presidenta",3
"http://dbpedia.org/ontology/successor",20440
"http://es.dbpedia.org/property/labelSize",1
"http://es.dbpedia.org/property/episcopadoPor",1
"http://es.dbpedia.org/property/subtitulo",8
"http://es.dbpedia.org/property/traductor",7
"http://es.dbpedia.org/property/fuerza",1
"http://es.dbpedia.org/property/equipos",4
"http://es.dbpedia.org/property/preposicion",1
"http://es.dbpedia.org/property/p",48
"http://es.dbpedia.org/property/campeonato",2
"http://es.dbpedia.org/property/gobernadorgeneral",2
"http://es.dbpedia.org/property/premiosCondor",7
"http://es.dbpedia.org/property/mostrarImágenes",1
"http://www.w3.org/2002/07/owl#sameAs",9371
"http://es.dbpedia.org/property/interpretacionesNotables",1
"http://es.dbpedia.org/property/ditrito",1
"http://es.dbpedia.org/property/actoresDeDoblajeHispanoamérica",1
"http://es.dbpedia.org/property/etiqueta",9
"http://es.dbpedia.org/property/iglesia",1
"http://es.dbpedia.org/property/m",1
"http://es.dbpedia.org/property/cargosOcupados",1
"http://es.dbpedia.org/property/cargosCriminales",60
"http://es.dbpedia.org/property/fechanace",1
"http://dbpedia.org/ontology/militaryCommand",1
"http://dbpedia.org/property/vicepresident",2
"http://es.dbpedia.org/property/vicejefe",10
"http://dbpedia.org/ontology/birthPlace",7554
"http://es.dbpedia.org/property/fec",1
"http://es.dbpedia.org/property/diaconadoPor",1
"http://es.dbpedia.org/property/lugarDeEntierro",13
"http://dbpedia.org/ontology/region",3
"http://es.dbpedia.org/property/estatura",12
"http://es.dbpedia.org/property/2y",20
"http://es.dbpedia.org/property/data",4
"http://es.dbpedia.org/property/hijos",4489
"http://es.dbpedia.org/property/enelcargo",42
"http://es.dbpedia.org/property/añoSucesores",82
"http://es.dbpedia.org/property/bgcolor",1
"http://es.dbpedia.org/property/leyenda",1
"http://es.dbpedia.org/property/juantoa",12
"http://es.dbpedia.org/property/ocupación",2086
"http://es.dbpedia.org/property/3y",6
"http://es.dbpedia.org/property/educacion",1
"http://es.dbpedia.org/property/títuloInferior",6
"http://es.dbpedia.org/property/compañíaDiscográfica",10
"http://es.dbpedia.org/property/batallas/guerras",4
"http://es.dbpedia.org/property/ci",2
"http://es.dbpedia.org/property/signature",1
"http://es.dbpedia.org/property/doblador",5
"http://es.dbpedia.org/property/entierro",2
"http://dbpedia.org/property/signature",3
"http://es.dbpedia.org/property/minicio",1
"http://dbpedia.org/property/commands",2
"http://es.dbpedia.org/property/cónyuge(s)_",3
"http://es.dbpedia.org/property/carreras",2
"http://es.dbpedia.org/property/circunscripción",8
"http://es.dbpedia.org/property/tamañoEscudo",3
"http://es.dbpedia.org/property/institución",1
"http://es.dbpedia.org/property/ocupaciónActual",1
"http://es.dbpedia.org/property/condecoraciones",77
"http://es.dbpedia.org/property/liberalDeDerechaDistrito",1
"http://es.dbpedia.org/property/título",13162
"http://es.dbpedia.org/property/fallecimiento",8
"http://es.dbpedia.org/property/mandato",5
"http://es.dbpedia.org/property/alumnoDe",4
"http://es.dbpedia.org/property/mostrarNombres",1
"http://es.dbpedia.org/property/nieto",3
"http://es.dbpedia.org/property/2a",34
"http://es.dbpedia.org/property/years",1
"http://es.dbpedia.org/property/enciclopedia",23
"http://es.dbpedia.org/property/zar",1
"http://es.dbpedia.org/property/nacionality",1
"http://es.dbpedia.org/property/smallimage",1
"http://es.dbpedia.org/property/nombrereal",1
"http://es.dbpedia.org/property/listatecnicas",3
"http://dbpedia.org/property/almaMater",12
"http://es.dbpedia.org/property/nombreJaLatino",2
"http://es.dbpedia.org/property/actividad",4
"http://es.dbpedia.org/property/subítulo",1
"http://es.dbpedia.org/property/preposición",2
"http://es.dbpedia.org/property/pie",7
"http://dbpedia.org/property/langcode",1
"http://es.dbpedia.org/property/licenciatura",1
"http://es.dbpedia.org/property/label",4
"http://es.dbpedia.org/property/cûnyuge",1
"http://es.dbpedia.org/property/others",4
"http://es.dbpedia.org/property/luarmuerte",1
"http://es.dbpedia.org/property/website",40
"http://es.dbpedia.org/property/ordenación",2
"http://dbpedia.org/property/caption",6
"http://es.dbpedia.org/property/obispo",1
"http://dbpedia.org/property/commons",1
"http://es.dbpedia.org/property/otrosPartidos",1
"http://es.dbpedia.org/property/almamáterSas",1
"http://es.dbpedia.org/property/pieimagen",4039
"http://es.dbpedia.org/property/ref",72
"http://es.dbpedia.org/property/anchoBarra",2
"http://es.dbpedia.org/property/posgrados",1
"http://es.dbpedia.org/property/dirección",2
