PROVINCE,MUNICIPALITY,STATION_CODE,MAGNITUDE_CODE,TECHNIQUE,YEAR,MONTH,DAY,VALUE,VALID
28,79,8,10,47,2023,2,D01,23,true
28,79,8,10,47,2023,3,D01,18,true
28,79,8,10,47,2023,4,D01,16,true
28,79,8,10,47,2023,5,D01,9,true
28,79,8,10,47,2023,6,D01,19,true
28,79,8,10,47,2023,7,D01,13,true
28,79,8,10,47,2023,8,D01,23,true
28,79,8,10,47,2023,9,D01,31,true
28,79,8,10,47,2023,10,D01,28,true
28,79,8,10,47,2023,11,D01,9,true
28,79,8,10,47,2023,12,D01,10,true
28,79,8,12,8,2023,1,D01,52,true
28,79,8,12,8,2023,2,D01,79,true
28,79,8,12,8,2023,3,D01,50,true
28,79,8,12,8,2023,4,D01,16,true
28,79,8,12,8,2023,5,D01,12,true
28,79,8,12,8,2023,6,D01,30,true
28,79,8,12,8,2023,7,D01,15,true
28,79,8,12,8,2023,8,D01,23,true
28,79,8,12,8,2023,9,D01,54,true
28,79,8,12,8,2023,10,D01,80,true
28,79,8,12,8,2023,11,D01,65,true
28,79,8,12,8,2023,12,D01,48,true
28,79,8,14,6,2023,1,D01,23,true
28,79,8,14,6,2023,2,D01,30,true
28,79,8,14,6,2023,3,D01,51,true
28,79,8,14,6,2023,4,D01,80,true
28,79,8,14,6,2023,5,D01,84,true
28,79,8,14,6,2023,6,D01,81,true
28,79,8,14,6,2023,7,D01,63,true
28,79,8,14,6,2023,8,D01,85,true
28,79,8,14,6,2023,9,D01,59,true
28,79,8,14,6,2023,10,D01,56,true
28,79,8,14,6,2023,11,D01,34,true
28,79,8,14,6,2023,12,D01,48,true
28,79,8,20,59,2023,1,D01,0.7,true
28,79,8,20,59,2023,2,D01,4.8,true
28,79,8,20,59,2023,3,D01,1.2,true
28,79,8,20,59,2023,4,D01,0.9,true
28,79,8,20,59,2023,5,D01,0.4,true
28,79,8,20,59,2023,6,D01,1,true
28,79,8,20,59,2023,7,D01,0.4,true
28,79,8,20,59,2023,8,D01,1.5,true
28,79,8,20,59,2023,9,D01,4.2,true
28,79,8,20,59,2023,10,D01,2.2,true
28,79,8,20,59,2023,11,D01,2.4,true
28,79,8,20,59,2023,12,D01,1.7,true
28,79,8,30,59,2023,1,D01,0.1,true
28,79,8,30,59,2023,2,D01,0.9,true
28,79,8,30,59,2023,3,D01,0.5,true
28,79,8,30,59,2023,4,D01,0.4,true
28,79,8,30,59,2023,5,D01,0.1,true
28,79,8,30,59,2023,6,D01,0.2,true
28,79,8,30,59,2023,7,D01,0.3,true
28,79,8,30,59,2023,8,D01,0.3,true
28,79,8,30,59,2023,9,D01,0.4,true
28,79,8,30,59,2023,10,D01,0.7,true
28,79,8,30,59,2023,11,D01,0.4,true
28,79,8,30,59,2023,12,D01,0.3,true
28,79,8,35,59,2023,1,D01,0.1,true
28,79,8,35,59,2023,2,D01,0.5,true
28,79,8,35,59,2023,3,D01,0.2,true
28,79,8,35,59,2023,4,D01,0.1,true
28,79,8,35,59,2023,5,D01,0.1,true
28,79,8,35,59,2023,6,D01,0.2,true
28,79,8,35,59,2023,7,D01,0.1,true
28,79,8,35,59,2023,8,D01,0.2,true
28,79,8,35,59,2023,9,D01,0.6,true
28,79,8,35,59,2023,10,D01,0.3,true
28,79,8,35,59,2023,11,D01,0.5,true
28,79,8,35,59,2023,12,D01,0.2,true
28,79,11,7,8,2023,1,D01,5,true
28,79,11,7,8,2023,3,D01,0,false
28,79,11,7,8,2023,4,D01,2,true
28,79,11,7,8,2023,5,D01,1,true
28,79,11,7,8,2023,6,D01,2,true
28,79,11,7,8,2023,7,D01,3,true
28,79,11,7,8,2023,8,D01,3,true
28,79,11,7,8,2023,9,D01,6,true
28,79,11,7,8,2023,10,D01,15,true
28,79,11,7,8,2023,11,D01,21,true
28,79,11,7,8,2023,12,D01,7,true
28,79,11,8,8,2023,1,D01,36,true
28,79,11,8,8,2023,3,D01,0,false
28,79,11,8,8,2023,4,D01,9,true
28,79,11,8,8,2023,5,D01,9,true
28,79,11,8,8,2023,6,D01,23,true
28,79,11,8,8,2023,7,D01,11,true
28,79,11,8,8,2023,8,D01,24,true
28,79,11,8,8,2023,9,D01,41,true
28,79,11,8,8,2023,10,D01,49,true
28,79,11,8,8,2023,11,D01,29,true
28,79,11,8,8,2023,12,D01,26,true
28,79,11,12,8,2023,1,D01,43,true
28,79,11,12,8,2023,3,D01,0,false
28,79,11,12,8,2023,4,D01,12,true
28,79,11,12,8,2023,5,D01,11,true
28,79,11,12,8,2023,6,D01,27,true
28,79,11,12,8,2023,7,D01,15,true
28,79,11,12,8,2023,8,D01,28,true
28,79,11,12,8,2023,9,D01,49,true
28,79,11,12,8,2023,10,D01,72,true
28,79,11,12,8,2023,11,D01,62,true
28,79,11,12,8,2023,12,D01,37,true
28,79,11,20,59,2023,1,D01,0.8,true
28,79,11,20,59,2023,3,D01,0,false
28,79,11,20,59,2023,4,D01,0.9,true
28,79,11,20,59,2023,5,D01,0.6,true
28,79,11,20,59,2023,6,D01,1,true
28,79,11,20,59,2023,7,D01,0.6,true
28,79,11,20,59,2023,8,D01,1.5,true
28,79,11,20,59,2023,9,D01,2.4,true
28,79,11,20,59,2023,10,D01,4.7,true
28,79,11,20,59,2023,11,D01,2.9,true
28,79,11,20,59,2023,12,D01,1.9,true
28,79,11,30,59,2023,1,D01,0.3,true
28,79,11,30,59,2023,3,D01,0,false
28,79,11,30,59,2023,4,D01,0.2,true
28,79,11,30,59,2023,5,D01,0.1,true
28,79,11,30,59,2023,6,D01,0.2,true
28,79,11,30,59,2023,7,D01,0.1,true
28,79,11,30,59,2023,8,D01,0.2,true
28,79,11,30,59,2023,9,D01,0.4,true
28,79,11,30,59,2023,10,D01,0.8,true
28,79,11,30,59,2023,11,D01,0.7,true
28,79,11,30,59,2023,12,D01,0.5,true
28,79,11,35,59,2023,1,D01,0.1,true
28,79,11,35,59,2023,3,D01,0,false
28,79,11,35,59,2023,4,D01,0.1,true
28,79,11,35,59,2023,5,D01,0.1,true
28,79,11,35,59,2023,6,D01,0.1,true
28,79,11,35,59,2023,7,D01,0.1,true
28,79,11,35,59,2023,8,D01,0.1,true
28,79,11,35,59,2023,9,D01,0.1,true
28,79,11,35,59,2023,10,D01,0.1,true
28,79,11,35,59,2023,11,D01,0.1,true
28,79,11,35,59,2023,12,D01,0.1,true
28,79,16,7,8,2023,1,D01,4,true
28,79,16,7,8,2023,2,D01,19,true
28,79,16,7,8,2023,3,D01,6,true
28,79,16,7,8,2023,4,D01,1,true
28,79,16,7,8,2023,5,D01,1,true
28,79,16,7,8,2023,6,D01,1,true
28,79,16,7,8,2023,7,D01,1,true
28,79,16,7,8,2023,8,D01,1,true
28,79,16,7,8,2023,9,D01,2,true
28,79,16,7,8,2023,10,D01,3,true
28,79,16,7,8,2023,11,D01,21,true
28,79,16,7,8,2023,12,D01,2,true
28,79,16,8,8,2023,1,D01,28,true
28,79,16,8,8,2023,2,D01,43,true
28,79,16,8,8,2023,3,D01,36,true
28,79,16,8,8,2023,4,D01,7,true
28,79,16,8,8,2023,5,D01,8,true
28,79,16,8,8,2023,6,D01,21,true
28,79,16,8,8,2023,7,D01,9,true
28,79,16,8,8,2023,8,D01,17,true
28,79,16,8,8,2023,9,D01,38,true
28,79,16,8,8,2023,10,D01,31,true
28,79,16,8,8,2023,11,D01,29,true
28,79,16,8,8,2023,12,D01,22,true
28,79,16,12,8,2023,1,D01,34,true
28,79,16,12,8,2023,2,D01,71,true
28,79,16,12,8,2023,3,D01,44,true
28,79,16,12,8,2023,4,D01,8,true
28,79,16,12,8,2023,5,D01,10,true
28,79,16,12,8,2023,6,D01,23,true
28,79,16,12,8,2023,7,D01,11,true
28,79,16,12,8,2023,8,D01,18,true
28,79,16,12,8,2023,9,D01,41,true
28,79,16,12,8,2023,10,D01,36,true
28,79,16,12,8,2023,11,D01,62,true
28,79,16,12,8,2023,12,D01,25,true
28,79,16,14,6,2023,1,D01,17,true
28,79,16,14,6,2023,2,D01,36,true
28,79,16,14,6,2023,3,D01,45,true
