STATION_CODE,SAMPLING_LOCATION_NAME,same_as_JuntaMunicipalDistrito
102,Junta Municipal del Distrito de Moratalaz,https://www.wikidata.org/wiki/Q3814115
103,Junta Municipal del Distrito de Villaverde,https://www.wikidata.org/wiki/Q3814115
104,"E.D.A.R. La China",https://www.wikidata.org/wiki/Q3814115
106,"Centro Mpal. De Acústica",https://www.wikidata.org/wiki/Q3814115
107,Hortaleza District Municipal board,https://www.wikidata.org/wiki/Q3814115
108,Peñagrande,https://www.wikidata.org/wiki/Q3814115
109,Junta Municipal del Distrito de Chamberí,https://www.wikidata.org/wiki/Q3814115
110,Junta Municipal del Distrito Centro,https://www.wikidata.org/wiki/Q3814115
111,Junta Municipal del Distrito de Chamartín,https://www.wikidata.org/wiki/Q3814115
112,Vallecas,https://www.wikidata.org/wiki/Q3814115
113,Vallecas,https://www.wikidata.org/wiki/Q3814115
114,Matadero,https://www.wikidata.org/wiki/Q3814115
115,Matadero Madrid,https://www.wikidata.org/wiki/Q3814115
4,Plaza España,https://www.wikidata.org/wiki/Q3814115
8,Escuelas Aguirre,https://www.wikidata.org/wiki/Q3814115
16,Arturo Soria,https://www.wikidata.org/wiki/Q3814115
18,San Isidro,https://www.wikidata.org/wiki/Q3814115
24,Casa de Campo,https://www.wikidata.org/wiki/Q3814115
35,Plaza del Carmen,https://www.wikidata.org/wiki/Q3814115
36,Junta Municipal del Distrito de Moratalaz,https://www.wikidata.org/wiki/Q3814115
38,Cuatro Caminos,https://www.wikidata.org/wiki/Q3814115
39,El Pilar,https://www.wikidata.org/wiki/Q3814115
54,Ensanche de Vallecas,https://www.wikidata.org/wiki/Q3814115
56,Plaza Elíptica,https://www.wikidata.org/wiki/Q3814115
58,El Pardo,https://www.wikidata.org/wiki/Q3814115
59,Juan Carlos I Park,https://www.wikidata.org/wiki/Q3814115
