Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 98 E5,Precio gasóleo A,Precio gasóleo Premium,Rótulo,ID,Tipo venta,Rem.,Horario,Tipo servicio
ALBACETE,ABENGIBRE,ABENGIBRE,02250,"AVENIDA CASTILLA LA MANCHA, 26",D,"-1,539167","39,211417",27/09/2024 20:21,"1,379",,"1,249",,Nº 10.935,ID-Nº 10.935-0,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
ALBACETE,ALATOZ,ALATOZ,02152,"CR CM-332, 46,4",I,"-1,346083","39,100389",02/10/2024 20:24,"1,699",,"1,589","1,709",REPSOL,ID-REPSOL-1,P,dm,L-D: 7:00-23:00,L-D: 7:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"CALLE FEDERICO GARCIA LORCA, 5",I,"-1,846361","38,997722",30/09/2024 15:20,,,"1,485",,CEPSA,ID-CEPSA-2,R,dm,L-S: 05:00-23:00,L-S: 05:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"AVENIDA 1º DE MAYO, S/N",N,"-1,868500","38,985667",02/10/2024 11:02,"1,489","1,599","1,389","1,429",CARREFOUR,ID-CARREFOUR-3,P,dm,L-S: 08:00-22:00; D: 09:00-21:00,L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",I,"-1,832000","39,054694",03/10/2024 00:00,"1,519","1,661","1,459","1,549",BP ROMICA,ID-BP ROMICA-4,P,OM,L-D: 06:00-21:30,L-D: 06:00-21:30 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"CALLE FEDERICO GARCIA LORCA, 1",D,"-1,849833","39,000861",30/09/2024 04:15,"1,295",,"1,169",,PLENOIL,ID-PLENOIL-5,P,dm,L-D: 24H,L-D: 24H (D)
ALBACETE,ALBACETE,ALBACETE,02005,"CALLE CONSTANTINO ROMERO, S/N",D,"-1,884444","39,005528",30/09/2024 04:15,"1,295",,"1,169",,PLENOIL,ID-PLENOIL-6,P,dm,L-D: 24H,L-D: 24H (D)
ALBACETE,ALBACETE,ALBACETE,02005,"AVENIDA MENÉNDEZ PIDAL, 58",N,"-1,864917","39,003333",02/10/2024 09:55,"1,509","1,629","1,429","1,489",TAMOS,ID-TAMOS-7,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02005,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",D,"-1,885361","39,006889",26/09/2024 09:53,"1,294",,"1,169","1,298",A&A,ID-A&A-8,P,dm,L-S: 09:00-21:30,Sin datos
ALBACETE,ALBACETE,ALBACETE,02005,"PASEO CUBA (LA), 36",N,"-1,859917","39,005083",01/10/2024 00:00,"1,554","1,686","1,484","1,564",CEPSA,ID-CEPSA-9,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
ALBACETE,ALBACETE,ALBACETE,02005,"CL PASEO DE LA CUBA, 15",D,"-1,854556","38,999722",03/10/2024 00:00,"1,519","1,629","1,479","1,549",REPSOL,ID-REPSOL-10,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02002,"CALLE HERMANOS FALCÓ, 2",D,"-1,849028","38,989250",02/10/2024 17:00,"1,559","1,669","1,499","1,589",CEPSA,ID-CEPSA-11,P,dm,L-D: 06:30-22:30,Sin datos
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA JAEN KM. 2,D,"-1,871722","38,994667",02/10/2024 06:00,"1,509","1,639","1,429","1,489",REPSOL,ID-REPSOL-12,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02006,"CALLE ALMANSA, 2",I,"-1,847083","38,984139",01/10/2024 00:10,"1,588","1,721","1,509","1,569",CEPSA,ID-CEPSA-13,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02006,"AVDA. DE LOS TOREROS, S/N",N,"-1,869889","38,998222",30/09/2024 00:00,"1,449",,"1,299","1,349",INPEALSA,ID-INPEALSA-14,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P)
ALBACETE,ALBACETE,ALBACETE,02006,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",N,"-1,847361","38,988972",30/09/2024 10:21,"1,299","1,549","1,169","1,299",FAMILY ENERGY,ID-FAMILY ENERGY-15,P,dm,L-S: 07:00-23:00; D: 08:00-23:00,L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02006,"CR N-322, 337,8",I,"-2,031861","38,925833",30/09/2024 10:36,"1,549","1,689","1,439","1,509",REPSOL,ID-REPSOL-16,P,dm,L-D: 06:30-22:00,L-D: 06:30-22:00 (P)
ALBACETE,ALBACETE,ALBACETE,02006,"CALLE CTRA. DE JAEN, 79",I,"-1,883694","38,988111",30/09/2024 11:17,"1,529","1,659","1,429","1,499",REPSOL,ID-REPSOL-17,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00 (P)
ALBACETE,ALBACETE,ALBACETE,02006,"PG CAMPOLLANO-P. 2-CT, S.N.",D,"-1,874972","39,012583",03/10/2024 00:00,"1,519","1,649","1,469","1,519",REPSOL,ID-REPSOL-18,P,OM,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)
ALBACETE,ALBACETE,ALBACETE,02006,"CR N-301, 244",I,"-1,892972","39,027778",03/10/2024 08:00,"1,519","1,649","1,479","1,519",REPSOL,ID-REPSOL-19,P,OM,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA N-322 KM. 359,D,"-1,845083","39,033139",03/10/2024 00:00,"1,509","1,639","1,459","1,509",REPSOL,ID-REPSOL-20,P,OM,L-V: 07:00-21:00; S-D: 09:00-14:00,Sin datos
ALBACETE,ALBACETE,ALBACETE,02006,"AVENIDA 1º DE MAYO, S/N",N,"-1,866806","38,985194",02/10/2024 23:56,"1,459",,"1,269",,PETROCAMP,ID-PETROCAMP-21,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,D,"-1,935500","38,965639",03/10/2024 07:00,,,"1,309",,P347,ID-P347-22,P,dm,L-S: 07:00-22:00,L-S: 07:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02006,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",N,"-1,853306","38,982167",30/09/2024 07:00,"1,449",,"1,299",,INPEALSA,ID-INPEALSA-23,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P)
ALBACETE,ALBACETE,ALBACETE,02099,CARRETERA NACIONAL 301 KM. 256,D,"-1,831639","38,929389",30/09/2024 06:00,"1,449",,"1,299",,INPEALSA,ID-INPEALSA-24,P,dm,L-D: 24H,"L-S: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); D: 00:00-07:00 (D), 07:00-22:00 (P), 22:00-23:59 (D)"
ALBACETE,ALBACETE,ALBACETE,02004,CARRETERA N-322 KM. 349,D,"-1,919778","38,970167",30/09/2024 08:33,"1,619","1,669","1,529","1,589",CEPSA,ID-CEPSA-25,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,SANTA ANA,02328,"AVENIDA PRINCIPE, 2",D,"-1,994028","38,900944",03/10/2024 00:00,"1,469","1,589","1,429","1,489",REPSOL,ID-REPSOL-26,P,OM,L-D: 08:00-16:00,L-D: 08:00-16:00 (A)
ALBACETE,ALBACETE,SALOBRAL (EL),02140,"CM. 3203 km 14,1",D,"-1,920500","38,867556",01/10/2024 12:08,"1,375",,"1,216","1,860",LOZANO,ID-LOZANO-27,P,dm,L-S: 07:00-14:00; D: 09:00-14:00,Sin datos
ALBACETE,ALBACETE,ALBACETE,02007,"SECTOR PARCELA T-3 LOCAL52, 14",N,"-1,878111","39,009639",23/09/2024 19:02,"1,395","1,539","1,269","1,368",ALCAMPO,ID-ALCAMPO-28,P,dm,L-S: 06:00-23:00; D: 08:00-23:00,L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02007,"CARRETERA C-M 332 KM. 2,6",D,"-1,831611","38,998111",30/09/2024 01:28,"1,579","1,719","1,479","1,589","INLOCOR S.L. ""CEPSA""","ID-INLOCOR S.L. ""CEPSA""-29",P,dm,L-D: 06:00-23:30,L-D: 06:00-23:30 (A)
ALBACETE,ALBACETE,ALBACETE,02007,"POLIGONO CAMPOLLANO AVENIDA 1, 0",N,"-1,893944","39,016389",30/09/2024 00:00,"1,449",,"1,299","1,349",INPEALSA,ID-INPEALSA-30,P,dm,L-V: 06:00-22:00; S: 06:00-14:00,S: 06:00-14:00 (A)
ALBACETE,ALBACETE,ALBACETE,02007,"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",D,"-1,874333","39,018000",03/10/2024 00:40,"1,459","1,619","1,319","1,419",ENERCOM CARBURANTES,ID-ENERCOM CARBURANTES-31,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02007,AUTOVIA A-31 KM. 69,I,"-1,891361","39,031528",03/10/2024 10:00,"1,529","1,669","1,459","1,509",REPSOL,ID-REPSOL-32,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02007,"MADRID-CARTAGENA km 248,5",D,"-1,845278","38,971722",03/10/2024 00:00,"1,519","1,629","1,469","1,529","REPSOL. LOS ANGELES DE LA MANCHA, S.L.","ID-REPSOL. LOS ANGELES DE LA MANCHA, S.L.-33",P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02007,"MADRID-CARTAGENA km 248,5",I,"-1,845306","38,971778",03/10/2024 00:00,"1,519","1,629","1,469","1,529",REPSOL Nº ESTACIÓN 97179,ID-REPSOL Nº ESTACIÓN 97179-34,P,OM,L-V: 06:00-22:00,L-V: 06:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02007,"POLIGONO CAMPOLLANO AVENIDA -0-, 69",D,"-1,879639","39,021972",30/09/2024 12:44,"1,479",,"1,289",,ABOIL,ID-ABOIL-35,P,dm,L-V: 07:00-21:00; S-D: 09:00-14:00,L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)
ALBACETE,ALBACETE,ALBACETE,02007,"AVENIDA 3ª ESQUINA C/ F Nº3, 3",N,"-1,885694","39,009417",02/10/2024 23:03,"1,369",,"1,229",,FAST & GAS,ID-FAST & GAS-36,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02007,"CALLE AUTOVIA, SN",N,"-1,888333","39,029167",30/09/2024 11:04,"1,449",,"1,299",,LA GAVIOTA GASOLINERA 24 HORA,ID-LA GAVIOTA GASOLINERA 24 HORA-37,P,dm,L-D: 24H,"L-V: 00:00-08:30 (D), 08:30-19:00 (A), 19:00-23:59 (D); S-D: 24H (D)"
ALBACETE,ALBACETE,ALBACETE,02007,"POLIGONO ROMICA C/4, 106",N,"-1,836806","39,060639",30/09/2024 10:57,"1,420",,"1,270",,VILLAFUEL SL,ID-VILLAFUEL SL-38,P,dm,L: 24H,Sin datos
ALBACETE,ALBACETE,ALBACETE,02007,"AVENIDA PRIMERA, S/N",D,"-1,882056","39,022139",30/09/2024 09:50,"1,279",,"1,199",,GMOIL,ID-GMOIL-39,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02007,"POLIGONO CAMPOLLANO C/.F, 13",D,"-1,889417","39,012472",30/09/2024 13:10,,,"1,299",,AVANZA OIL,ID-AVANZA OIL-40,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02007,"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",N,"-1,886556","39,021583",23/09/2024 10:12,"1,489",,"1,319",,VALERO 24H,ID-VALERO 24H-41,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02080,"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",I,"-1,873194","38,970778",23/09/2024 22:14,"1,439",,"1,349",,AREA LOS LLANOS,ID-AREA LOS LLANOS-42,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02080,"AUTOVIA A-30 KM. 239,4",D,"-1,933250","39,059806",01/10/2024 06:00,"1,489","1,621","1,449","1,529",CEPSA,ID-CEPSA-43,P,OM,L-D: 07:00-23:00,Sin datos
ALBACETE,ALBACETE,ALBACETE,02080,"AUTOVIA A-30 KM. 239,4",I,"-1,933056","39,060528",01/10/2024 06:00,"1,499",,"1,459","1,539",CEPSA,ID-CEPSA-44,P,OM,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02080,"POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",D,"-1,823639","38,969361",02/10/2024 17:00,"1,559","1,669","1,499","1,589",CEPSA,ID-CEPSA-45,P,dm,L-D: 06:30-22:30,Sin datos
ALBACETE,ALCADOZO,ALCADOZO,02124,"CM-3203 km 41,9",I,"-1,978917","38,646833",30/09/2024 11:07,"1,569",,"1,499","1,599",CEPSA,ID-CEPSA-46,P,dm,L-D: 07:00-21:30,L-D: 07:00-21:30 (A)
ALBACETE,ALCALÁ DEL JÚCAR,ALCALA DEL JUCAR,02210,"CARRETERA CM-3201 47,1 KM. 47,1",D,"-1,433222","39,203167",30/09/2024 09:24,"1,439",,"1,329",,EL JUCAR,ID-EL JUCAR-47,P,dm,L: 24H,L: 08:00-20:00 (P)
ALBACETE,ALCARAZ,ALCARAZ,02300,"CR N-322 276,5",D,"-2,492222","38,673111",23/09/2024 17:14,"1,539","1,729","1,439","1,499",REPSOL,ID-REPSOL-48,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
ALBACETE,ALCARAZ,JARDIN (EL),02330,CARRETERA 322 KM. 302,I,"-2,327639","38,808528",03/10/2024 00:00,"1,479",,"1,429","1,479",REPSOL,ID-REPSOL-49,P,OM,L-V: 07:00-17:00,L-V: 07:00-17:00 (A)
