Provincia,same_as_wiki_data_province,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Precio gasolina 95 E5,Precio gasolina 98 E5,Precio gasóleo A,Precio gasóleo Premium,Rótulo,same_as_wikdata_rotulo,ID,Tipo venta,Rem.,Horario,Tipo servicio
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"POLIGONO CAMPOLLANO C/.F, 13",D,"-1,889,417","39,012,472",,,"1,299",,AVANZA OIL,,ID-AVANZA OIL-40,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",N,"-1,886,556","39,021,583","1,489",,"1,319",,VALERO 24H,,ID-VALERO 24H-41,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02080,"CARRETERA DE LAS PEÃ‘AS KM 0+238 KM. 0,238",I,"-1,873,194","38,970,778","1,439",,"1,349",,AREA LOS LLANOS,,ID-AREA LOS LLANOS-42,P,dm,L-D: 07:00-22:00,"L-D: 07:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02080,"AUTOVIA A-30 KM. 239,4",D,"-1,933,250","39,059,806","1,489","1,621","1,449","1,529",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-43,P,OM,L-D: 07:00-23:00,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02080,"AUTOVIA A-30 KM. 239,4",I,"-1,933,056","39,060,528","1,499",,"1,459","1,539",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-44,P,OM,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02080,"POLIGONO NÂº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",D,"-1,823,639","38,969,361","1,559","1,669","1,499","1,589",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-45,P,dm,L-D: 06:30-22:30,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALCADOZO,ALCADOZO,02124,"CM-3203 km 41,9",I,"-1,978,917","38,646,833","1,569",,"1,499","1,599",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-46,P,dm,L-D: 07:00-21:30,"L-D: 07:00-21:30 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALCALÃ� DEL JÃšCAR,ALCALA DEL JUCAR,02210,"CARRETERA CM-3201 47,1 KM. 47,1",D,"-1,433,222","39,203,167","1,439",,"1,329",,EL JUCAR,,ID-EL JUCAR-47,P,dm,L: 24H,"L: 08:00-20:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALCARAZ,ALCARAZ,02300,"CR N-322 276,5",D,"-2,492,222","38,673,111","1,539","1,729","1,439","1,499",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-48,P,dm,L-D: 07:00-22:00,"L-D: 07:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALCARAZ,JARDIN (EL),02330,CARRETERA 322 KM. 302,I,"-2,327,639","38,808,528","1,479",,"1,429","1,479",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-49,P,OM,L-V: 07:00-17:00,"L-V: 07:00-17:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"CL AVDA. DE AYORA, S.N. A",D,"-1,100,528","38,874,583","1,529","1,629","1,439","1,529",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-50,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AVENIDA MADRID, 11",N,"-1,108,000","38,871,556","1,544",,"1,464","1,564",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-51,P,OM,L-V: 06:00-22:00,"L-V: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AUTOVIA A-31 KM. 143,350",I,"-1,143,722","38,878,278","1,514","1,565","1,457","1,519",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-52,P,dm,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AVENIDA CIRCUNVALACION, 26",N,"-1,084,750","38,859,944","1,534",,"1,459","1,555",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-53,P,dm,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AVENIDA CIRCUNVALACION, 9",N,"-1,098,889","38,879,167","1,544",,"1,464","1,564",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-54,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,AUTOVIA A-31 KM. 140,D,"-1,175,750","38,875,028","1,534","1,674","1,439","1,519",Shell,https://wikidata.org/entity/Q154950,ID-SHELL-55,P,OM,L-D: 07:00-23:00,"L-D: 07:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AVENIDA AYORA CON AVENIDA ADOLFO SUAREZ, S/N",D,"-1,100,028","38,878,667","1,259",,"1,159",,Plenoil,https://wikidata.org/entity/Q127497985,ID-PLENOIL-56,P,dm,L-D: 24H,"L-D: 24H (D)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AVENIDA CIRCUNVALACION, 17",N,"-1,089,278","38,874,083",,,"1,339",,GASÃ“LEOS S. ALMANSA,,ID-GASÃ“LEOS S. ALMANSA-57,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,CARRETERA N-430 BADAJOZ A VALENCIA KM. 594,D,"-1,027,694","38,850,278","1,379",,"1,259",,GASOLINERA LOW COST PENADES,,ID-GASOLINERA LOW COST PENADES-58,P,dm,L-D: 24H,"L-D: 24H (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALMANSA,ALMANSA,02640,"AVENIDA INFANTE DON JUAN MANUEL, 8",D,"-1,102,944","38,874,556","1,269",,"1,169",,QUALITY ALMANSA,,ID-QUALITY ALMANSA-59,P,dm,L-D: 24H,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALPERA,ALPERA,02690,"BONETE, S/NÂº",N,"-1,236,552","38,958,875","1,363",,"1,265",,COOPERATIVA SANTA CRUZ DE ALPERA,,ID-COOPERATIVA SANTA CRUZ DE ALPERA-60,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BALAZOTE,BALAZOTE,02320,"N-322 km 326,2",D,"-2,150,639","38,878,028","1,529",,"1,439",,E.S. BALAZOTE S.L.,,ID-E.S. BALAZOTE S.L.-61,P,dm,L-D: 07:00-23:00,"L-D: 07:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BARRAX,BARRAX,02639,"CALLE ALBACETE, 57",I,"-2,195,139","39,043,139","1,529",,"1,439",,E.S. BARRAX S.L.,,ID-E.S. BARRAX S.L.-62,P,dm,L-D: 06:00-23:00,"L-D: 06:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BARRAX,BARRAX,02639,CAMINO DE LOS GONZALOS SN,D,"-2,192,996","39,051,236",,,"1,284",,COABA,,ID-COABA-63,R,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BIENSERVIDA,BIENSERVIDA,02360,CARRETERA BIENSERVIDA KM. 10,N,"-2,617,667","38,516,417","1,494",,"1,394",,GASOLINERA ETENOIL,,ID-GASOLINERA ETENOIL-64,P,dm,L-D: 07:00-22:00,"L-D: 07:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BONETE,BONETE,02691,AUTOVIA A-31 KM. 126,D,"-1,331,500","38,875,861","1,519","1,659","1,459","1,509",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-65,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BONETE,BONETE,02691,"CR N-430, 566,3",I,"-1,331,611","38,876,111","1,519","1,659","1,459","1,509",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-66,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,BONILLO (EL),BONILLO (EL),02610,"CALLE CARRETERA MUNERA, 2",D,"-2,535,056","38,953,361","1,469","1,579","1,429","1,479",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-67,P,OM,S-D: 07:00-15:00,"S-D: 07:00-15:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CASAS DE JUAN NÃšÃ‘EZ,CASAS DE JUAN NUÃ‘EZ,02151,"AVDA. ALBACETE, 33",D,"-1,560,857","39,100,792","1,519",,"1,399",,GASOLINERAS DEL REY,,ID-GASOLINERAS DEL REY-68,P,dm,L-D: 07:00-23:00,"L-D: 07:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CASAS-IBÃ�Ã‘EZ,CASAS-IBAÃ‘EZ,02200,CARRETERA ALBACETE KM. 94,I,"-1,477,806","39,283,944","1,519","1,709","1,449","1,509",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-69,P,dm,L-D: 07:00-21:00,"L-D: 07:00-21:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CAUDETE,CAUDETE,02660,"CR N-344 DIRC.VALENCIA, KM.  118.3",N,"-0,943000","38,727,472","1,609","1,769","1,489","1,599",BP PARGA I PETROL BAS BEL,,ID-BP PARGA I PETROL BAS BEL-70,P,dm,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CAUDETE,CAUDETE,02660,"AVENIDA VALENCIA DE, 16",N,"-0,982111","38,708,944","1,579","1,729","1,459","1,549",Galp Energia,https://wikidata.org/entity/Q1492739,ID-GALP-71,P,dm,L-D: 06:00-22:00,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,CAUDETE,CAUDETE,02660,CARRETERA D-12 ESTACION KM. 32,D,"-0,971639","38,711,694","1,519",,"1,369",,VILA Y FAYOS,,ID-VILA Y FAYOS-72,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CAUDETE,CAUDETE,02660,"AUTOVIA A-31 KM. 167,50",I,"-0,955833","38,756,417","1,519","1,659","1,459","1,509",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-73,P,OM,L-D: 06:00-23:00,"L-D: 06:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CENIZATE,CENIZATE,02247,"CALLE VIRGEN DE LAS NIEVES, 17",D,"-1,664,167","39,301,000","1,396",,"1,298",,VIRGEN DE LAS NIEVES,,ID-VIRGEN DE LAS NIEVES-74,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CHINCHILLA DE MONTE-ARAGÃ“N,CHINCHILLA DE MONTE-ARAGO,02520,AUTOVIA A-31 KM. 86,D,"-1,758,000","38,937,583","1,519","1,669","1,449","1,519",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-75,P,OM,L-D: 06:00-23:00,"L-D: 06:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CHINCHILLA DE MONTE-ARAGÃ“N,CHINCHILLA DE MONTE-ARAGO,02520,AUTOVIA A-31 KM. 86,I,"-1,757,611","38,938,611","1,519",,"1,449","1,519",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-76,P,OM,L-D: 06:00-23:00,"L-D: 06:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CHINCHILLA DE MONTE-ARAGÃ“N,CHINCHILLA DE MONTE-ARAGO,02520,"Ctra. AB-430 KM 530,3",I,"-1,726,278","38,915,972","1,519","1,629","1,449","1,499",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-77,P,OM,L: 06:00-22:00,"L: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CHINCHILLA DE MONTE-ARAGÃ“N,POZO BUENO,02510,CL AVENIDA GENERALISIMO 107 (N-301 km 276),I,"-1,731,861","38,803,389","1,519",,"1,479",,Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-78,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,CHINCHILLA DE MONTE-ARAGÃ“N,VILLAR DE CHINCHILLA,02695,AUTOVIA A31 KM. 111,N,"-1,502,806","38,898,306","1,569","1,709","1,479","1,579",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-79,P,dm,L-V: 06:00-22:00; S-D: 07:00-22:00,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,02430,"POLIGONO EL CAMPILLO A, 2",D,"-2,017,917","38,460,694","1,450",,"1,369",,DLP,,ID-DLP-80,P,dm,L-V: 08:00-21:00; S: 08:00-14:00,"L-V: 08:00-21:00 (P); S: 08:00-14:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,02430,"CL BOLEA, 36 (CM-412 km 235,65)",D,"-2,044,778","38,451,306","1,509","1,619","1,429",,CAMPSA ESTACIONES DE SERVICIO,https://wikidata.org/entity/Q113464683,ID-CAMPSA-81,P,OM,L: 06:00-22:00,"L: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,FUENTE-Ã�LAMO,FUENTE-ALAMO,02651,"AVDA. DOCTOR PEREZ GIL, 25",N,"-1,433,306","38,689,833","1,659","1,820","1,499",,NÂº 7374,,ID-NÂº 7374-82,P,dm,L: 07:00-21:00,"Sin datos"
