Provincia,same_as_wiki_data_province,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Precio gasolina 95 E5,Precio gasolina 98 E5,Precio gasóleo A,Precio gasóleo Premium,Rótulo,same_as_wikdata_rotulo,ID,Tipo venta,Rem.,Horario,Tipo servicio
Albacete Province,https://wikidata.org/entity/Q54889,ABENGIBRE,ABENGIBRE,02250,"AVENIDA CASTILLA LA MANCHA, 26",D,"-1,539,167","39,211,417","1,379",,"1,249",,NÂº 10.935,,ID-NÂº 10.935-0,P,dm,L-D: 07:00-22:00,"L-D: 07:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALATOZ,ALATOZ,02152,"CR CM-332, 46,4",I,"-1,346,083","39,100,389","1,699",,"1,589","1,709",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-1,P,dm,L-D: 7:00-23:00,"L-D: 7:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02001,"CALLE FEDERICO GARCIA LORCA, 5",I,"-1,846,361","38,997,722",,,"1,485",,Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-2,R,dm,L-S: 05:00-23:00,"L-S: 05:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02001,"AVENIDA 1Âº DE MAYO, S/N",N,"-1,868,500","38,985,667","1,489","1,599","1,389","1,429",Carrefour,https://wikidata.org/entity/Q62073427,ID-CARREFOUR-3,P,dm,L-S: 08:00-22:00; D: 09:00-21:00,"L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02001,"CALLE PRINCIPE DE ASTURIAS (POLÃ�GONO DE ROMICA), 5",I,"-1,832,000","39,054,694","1,519","1,661","1,459","1,549",BP ROMICA,,ID-BP ROMICA-4,P,OM,L-D: 06:00-21:30,"L-D: 06:00-21:30 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02001,"CALLE FEDERICO GARCIA LORCA, 1",D,"-1,849,833","39,000,861","1,295",,"1,169",,Plenoil,https://wikidata.org/entity/Q127497985,ID-PLENOIL-5,P,dm,L-D: 24H,"L-D: 24H (D)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02005,"CALLE CONSTANTINO ROMERO, S/N",D,"-1,884,444","39,005,528","1,295",,"1,169",,Plenoil,https://wikidata.org/entity/Q127497985,ID-PLENOIL-6,P,dm,L-D: 24H,"L-D: 24H (D)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02005,"AVENIDA MENÃ‰NDEZ PIDAL, 58",N,"-1,864,917","39,003,333","1,509","1,629","1,429","1,489",TAMOS,,ID-TAMOS-7,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02005,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",D,"-1,885,361","39,006,889","1,294",,"1,169","1,298",A&A,,ID-A&A-8,P,dm,L-S: 09:00-21:30,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02005,"PASEO CUBA (LA), 36",N,"-1,859,917","39,005,083","1,554","1,686","1,484","1,564",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-9,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02005,"CL PASEO DE LA CUBA, 15",D,"-1,854,556","38,999,722","1,519","1,629","1,479","1,549",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-10,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02002,"CALLE HERMANOS FALCÃ“, 2",D,"-1,849,028","38,989,250","1,559","1,669","1,499","1,589",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-11,P,dm,L-D: 06:30-22:30,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,CARRETERA JAEN KM. 2,D,"-1,871,722","38,994,667","1,509","1,639","1,429","1,489",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-12,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"CALLE ALMANSA, 2",I,"-1,847,083","38,984,139","1,588","1,721","1,509","1,569",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-13,P,dm,L-D: 06:00-23:00,"L-D: 06:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"AVDA. DE LOS TOREROS, S/N",N,"-1,869,889","38,998,222","1,449",,"1,299","1,349",INPEALSA,,ID-INPEALSA-14,P,dm,L-D: 07:00-23:00,"L-D: 07:00-23:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",N,"-1,847,361","38,988,972","1,299","1,549","1,169","1,299",FAMILY ENERGY,,ID-FAMILY ENERGY-15,P,dm,L-S: 07:00-23:00; D: 08:00-23:00,"L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"CR N-322, 337,8",I,"-2,031,861","38,925,833","1,549","1,689","1,439","1,509",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-16,P,dm,L-D: 06:30-22:00,"L-D: 06:30-22:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"CALLE CTRA. DE JAEN, 79",I,"-1,883,694","38,988,111","1,529","1,659","1,429","1,499",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-17,P,dm,L-D: 06:00-23:00,"L-D: 06:00-23:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"PG CAMPOLLANO-P. 2-CT, S.N.",D,"-1,874,972","39,012,583","1,519","1,649","1,469","1,519",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-18,P,OM,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,"L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"CR N-301, 244",I,"-1,892,972","39,027,778","1,519","1,649","1,479","1,519",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-19,P,OM,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,CARRETERA N-322 KM. 359,D,"-1,845,083","39,033,139","1,509","1,639","1,459","1,509",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-20,P,OM,L-V: 07:00-21:00; S-D: 09:00-14:00,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"AVENIDA 1Âº DE MAYO, S/N",N,"-1,866,806","38,985,194","1,459",,"1,269",,PETROCAMP,,ID-PETROCAMP-21,P,dm,L-D: 07:00-23:00,"L-D: 07:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,D,"-1,935,500","38,965,639",,,"1,309",,P347,,ID-P347-22,P,dm,L-S: 07:00-22:00,"L-S: 07:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02006,"AVDA. DE ESPAÃ‘A (PRÃ“X. A C/ SAN JUAN), S/N",N,"-1,853,306","38,982,167","1,449",,"1,299",,INPEALSA,,ID-INPEALSA-23,P,dm,L-D: 07:00-23:00,"L-D: 07:00-23:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02099,CARRETERA NACIONAL 301 KM. 256,D,"-1,831,639","38,929,389","1,449",,"1,299",,INPEALSA,,ID-INPEALSA-24,P,dm,L-D: 24H,"L-S: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); D: 00:00-07:00 (D), 07:00-22:00 (P), 22:00-23:59 (D)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02004,CARRETERA N-322 KM. 349,D,"-1,919,778","38,970,167","1,619","1,669","1,529","1,589",Spanish Petroleum Company,https://wikidata.org/entity/Q608819,ID-CEPSA-25,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,SANTA ANA,02328,"AVENIDA PRINCIPE, 2",D,"-1,994,028","38,900,944","1,469","1,589","1,429","1,489",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-26,P,OM,L-D: 08:00-16:00,"L-D: 08:00-16:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,SALOBRAL (EL),02140,"CM. 3203 km 14,1",D,"-1,920,500","38,867,556","1,375",,"1,216","1,860",LOZANO,,ID-LOZANO-27,P,dm,L-S: 07:00-14:00; D: 09:00-14:00,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"SECTOR PARCELA T-3 LOCAL52, 14",N,"-1,878,111","39,009,639","1,395","1,539","1,269","1,368",Alcampo,https://wikidata.org/entity/Q2832081,ID-ALCAMPO-28,P,dm,L-S: 06:00-23:00; D: 08:00-23:00,"L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"CARRETERA C-M 332 KM. 2,6",D,"-1,831,611","38,998,111","1,579","1,719","1,479","1,589","INLOCOR S.L. ""CEPSA""",,"ID-INLOCOR S.L. ""CEPSA""-29",P,dm,L-D: 06:00-23:30,"L-D: 06:00-23:30 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"POLIGONO CAMPOLLANO AVENIDA 1, 0",N,"-1,893,944","39,016,389","1,449",,"1,299","1,349",INPEALSA,,ID-INPEALSA-30,P,dm,L-V: 06:00-22:00; S: 06:00-14:00,"S: 06:00-14:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"POLIGONO AVDA. 3Âª, ESQUINA C/AUTOVIA, 69",D,"-1,874,333","39,018,000","1,459","1,619","1,319","1,419",ENERCOM CARBURANTES,,ID-ENERCOM CARBURANTES-31,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,AUTOVIA A-31 KM. 69,I,"-1,891,361","39,031,528","1,529","1,669","1,459","1,509",Repsol,https://wikidata.org/entity/Q174747,ID-REPSOL-32,P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"MADRID-CARTAGENA km 248,5",D,"-1,845,278","38,971,722","1,519","1,629","1,469","1,529","REPSOL. LOS ANGELES DE LA MANCHA, S.L.",,"ID-REPSOL. LOS ANGELES DE LA MANCHA, S.L.-33",P,OM,L-D: 06:00-22:00,"L-D: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"MADRID-CARTAGENA km 248,5",I,"-1,845,306","38,971,778","1,519","1,629","1,469","1,529",REPSOL NÂº ESTACIÃ“N 97179,,ID-REPSOL NÂº ESTACIÃ“N 97179-34,P,OM,L-V: 06:00-22:00,"L-V: 06:00-22:00 (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"POLIGONO CAMPOLLANO AVENIDA -0-, 69",D,"-1,879,639","39,021,972","1,479",,"1,289",,ABOIL,,ID-ABOIL-35,P,dm,L-V: 07:00-21:00; S-D: 09:00-14:00,"L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"AVENIDA 3Âª ESQUINA C/ F NÂº3, 3",N,"-1,885,694","39,009,417","1,369",,"1,229",,FAST & GAS,,ID-FAST & GAS-36,P,dm,L-D: 24H,"L-D: 24H (A)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"CALLE AUTOVIA, SN",N,"-1,888,333","39,029,167","1,449",,"1,299",,LA GAVIOTA GASOLINERA 24 HORA,,ID-LA GAVIOTA GASOLINERA 24 HORA-37,P,dm,L-D: 24H,"L-V: 00:00-08:30 (D), 08:30-19:00 (A), 19:00-23:59 (D); S-D: 24H (D)"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"POLIGONO ROMICA C/4, 106",N,"-1,836,806","39,060,639","1,420",,"1,270",,VILLAFUEL SL,,ID-VILLAFUEL SL-38,P,dm,L: 24H,"Sin datos"
Albacete Province,https://wikidata.org/entity/Q54889,ALBACETE,ALBACETE,02007,"AVENIDA PRIMERA, S/N",D,"-1,882,056","39,022,139","1,279",,"1,199",,GMOIL,,ID-GMOIL-39,P,dm,L-D: 24H,"L-D: 24H (A)"
