datetime-America/Los_Angeles,Iowa PM2.5 [ug/m^3],Chicago PM2.5 [ug/m^3],Cranford PM2.5 [ug/m^3],Magnolia PM2.5 [ug/m^3],month,day,hour,minute,dayofweek_Sunday,dayofweek_Monday,dayofweek_Tuesday,dayofweek_Wednesday,dayofweek_Thursday,dayofweek_Friday,dayofweek_Saturday,Background PM2.5 [ug/m^3],Temperature [degC],Pressure [mbar],Humidity [%],Wind Speed [mph],Wind Direction [degrees],Far-bound Local Roadway (#vehicles/mile),Near-bound Local Roadway (#vehicles/mile),Far-bound Highway (#vehicles/mile),Near-bound Highway (#vehicles/mile)
2021-05-21 12:30:00-07:00,9.750523182170888,10.55400566,10.753818279923122,10.251405789690594,5,21,12,30,0,0,0,0,0,1,0,-1.0,19.91,1015,30,2.68,260,32.16885823068309,50.995674074074074,89.94044966855401,89.25828979838276
2021-05-21 12:45:00-07:00,9.802661187107933,10.546466737352198,10.692991687025092,10.254847926035621,5,21,12,45,0,0,0,0,0,1,0,-1.0,19.91,1015,30,2.68,260,32.40714606942889,41.19001237472767,81.60327315433412,96.42283479892184
2021-05-21 13:00:00-07:00,9.858086953158839,10.547929039002288,10.633582037943981,10.286290969399577,5,21,13,0,0,0,0,0,0,1,0,3.0,21.14,1014,26,3.13,306,31.54810839865621,52.08843851851852,88.57159681954607,93.25576640616097
2021-05-21 13:15:00-07:00,9.916265098,10.553207984608152,10.576000164637774,10.339803717059366,5,21,13,15,0,0,0,0,0,1,0,3.0,21.14,1014,26,3.13,306,37.98988972004479,49.95355468409587,78.98264901572058,97.72489259175974
2021-05-21 13:30:00-07:00,9.976104336291513,10.557118993827672,10.520656899064445,10.409454966291902,5,21,13,30,0,0,0,0,0,1,0,3.0,21.14,1014,26,3.13,306,37.59341079507279,42.85350762527233,89.58095974626455,95.34135862610705
2021-05-21 13:45:00-07:00,10.034289770628266,10.554477486318733,10.46796307318197,10.489313514374093,5,21,13,45,0,0,0,0,0,1,0,3.0,21.14,1014,26,3.13,306,29.287377558790592,54.3869448366013,86.04818950274989,101.00225179453219
2021-05-21 14:00:00-07:00,10.086950600588855,10.540098881739219,10.418329518948326,10.573448158582844,5,21,14,0,0,0,0,0,0,1,0,5.0,21.65,1014,27,3.58,179,33.268186159014554,50.855426230936814,76.1900179347491,93.95175105306124
2021-05-21 14:15:00-07:00,10.130216025751865,10.508798599747017,10.372167068321497,10.655927696195064,5,21,14,15,0,0,0,0,0,1,0,5.0,21.65,1014,27,3.58,179,30.999445643896973,45.580549019607844,82.39441678937037,97.49710014940318
2021-05-21 14:30:00-07:00,10.160215245695897,10.45539206,10.32988655325945,10.730820924487663,5,21,14,30,0,0,0,0,0,1,0,5.0,21.65,1014,27,3.58,179,25.693035789473686,50.89827973856209,80.90536106426126,99.26977469757414
2021-05-21 14:45:00-07:00,10.173077459999533,10.376520993933804,10.291898805720173,10.792196640737547,5,21,14,45,0,0,0,0,0,1,0,5.0,21.65,1014,27,3.58,179,36.524119148936165,55.10571503267975,79.41630533915215,109.31493047054296
2021-05-21 15:00:00-07:00,10.164931868241371,10.27613238009501,10.258614657661633,10.834123642221627,5,21,15,0,0,0,0,0,0,1,0,5.0,22.5,1014,28,3.13,169,34.92618893617021,47.98229333333334,102.03748558802057,112.14308074609164
2021-05-21 15:15:00-07:00,10.13190767,10.159999508807944,10.230444941041815,10.850670726216809,5,21,15,15,0,0,0,0,0,1,0,5.0,22.5,1014,28,3.13,169,28.798787368421053,51.0657979956427,80.40859213420076,113.03310519645744
2021-05-21 15:30:00-07:00,10.072200816594044,10.033895670396936,10.207800487818691,10.83590669,5,21,15,30,0,0,0,0,0,1,0,5.0,22.5,1014,28,3.13,169,32.77158629339306,59.65403050108932,83.71654054478496,109.17633257820563
2021-05-21 15:45:00-07:00,9.992274266302244,9.90359415518631,10.191092129950242,10.78600277195312,5,21,15,45,0,0,0,0,0,1,0,5.0,22.5,1014,28,3.13,169,29.15521791713326,66.57292409586056,85.24328596505458,123.41672378405855
