datetime-America/Los_Angeles,Iowa NO2 [ppb],Chicago NO2 [ppb],Cranford NO2 [ppb],Magnolia NO2 [ppb],month,day,hour,minute,dayofweek_Sunday,dayofweek_Monday,dayofweek_Tuesday,dayofweek_Wednesday,dayofweek_Thursday,dayofweek_Friday,dayofweek_Saturday,Background NO2 [ppb],Temperature [degC],Pressure [mbar],Humidity [%],Wind Speed [mph],Wind Direction [degrees],Far-bound Local Roadway (#vehicles/mile),Near-bound Local Roadway (#vehicles/mile),Far-bound Highway (#vehicles/mile),Near-bound Highway (#vehicles/mile)
2021-05-21 12:30:00-07:00,18.04325196,14.03807842,17.71300743,37.77384445,5,21,12,30,0,0,0,0,0,1,0,3.6,19.91,1015,30,2.68,260,32.16885823,50.99567407,89.94044967,89.2582898
2021-05-21 12:45:00-07:00,18.02267703,14.04027802,17.72883187,37.81124721,5,21,12,45,0,0,0,0,0,1,0,3.6,19.91,1015,30,2.68,260,32.40714607,41.19001237,81.60327315,96.4228348
2021-05-21 13:00:00-07:00,18.00206366,14.04233761,17.74468236,37.8484638,5,21,13,0,0,0,0,0,0,1,0,3.6,21.14,1014,26,3.13,306,31.5481084,52.08843852,88.57159682,93.25576641
2021-05-21 13:15:00-07:00,17.98141181,14.04425706,17.76055838,37.88549443,5,21,13,15,0,0,0,0,0,1,0,3.6,21.14,1014,26,3.13,306,37.98988972,49.95355468,78.98264902,97.72489259
2021-05-21 13:30:00-07:00,17.96072148,14.04603622,17.77645935,37.9223393,5,21,13,30,0,0,0,0,0,1,0,3.6,21.14,1014,26,3.13,306,37.5934108,42.85350763,89.58095975,95.34135863
2021-05-21 13:45:00-07:00,17.93999264,14.04767493,17.79238474,37.95899862,5,21,13,45,0,0,0,0,0,1,0,3.6,21.14,1014,26,3.13,306,29.28737756,54.38694484,86.0481895,101.0022518
2021-05-21 14:00:00-07:00,17.91922528,14.04917305,17.808334,37.9954726,5,21,14,0,0,0,0,0,0,1,0,3.6,21.65,1014,27,3.58,179,33.26818616,50.85542623,76.19001793,93.95175105
2021-05-21 14:15:00-07:00,17.89841938,14.05053042,17.82430657,38.03176144,5,21,14,15,0,0,0,0,0,1,0,3.6,21.65,1014,27,3.58,179,30.99944564,45.58054902,82.39441679,97.49710015
2021-05-21 14:30:00-07:00,17.87757492,14.05174691,17.8403019,38.06786534,5,21,14,30,0,0,0,0,0,1,0,3.6,21.65,1014,27,3.58,179,25.69303579,50.89827974,80.90536106,99.2697747
2021-05-21 14:45:00-07:00,17.85669188,14.05282236,17.85631945,38.10378451,5,21,14,45,0,0,0,0,0,1,0,3.6,21.65,1014,27,3.58,179,36.52411915,55.10571503,79.41630534,109.3149305
2021-05-21 15:00:00-07:00,17.83577024,14.05375661,17.87235867,38.13951916,5,21,15,0,0,0,0,0,0,1,0,2.5,22.5,1014,28,3.13,169,34.92618894,47.98229333,102.0374856,112.1430807
2021-05-21 15:15:00-07:00,17.81480999,14.05454953,17.888419,38.17506949,5,21,15,15,0,0,0,0,0,1,0,2.5,22.5,1014,28,3.13,169,28.79878737,51.065798,80.40859213,113.0331052
2021-05-21 15:30:00-07:00,17.7938111,14.05520097,17.9044999,38.2104357,5,21,15,30,0,0,0,0,0,1,0,2.5,22.5,1014,28,3.13,169,32.77158629,59.6540305,83.71654054,109.1763326
2021-05-21 15:45:00-07:00,17.77277357,14.05571076,17.92060082,38.245618,5,21,15,45,0,0,0,0,0,1,0,2.5,22.5,1014,28,3.13,169,29.15521792,66.5729241,85.24328597,123.4167238
2021-05-21 16:00:00-07:00,17.75169736,14.05607878,17.93672121,38.28061659,5,21,16,0,0,0,0,0,0,1,0,2.1,21.84,1013,29,3.58,190,31.95860426,61.00781176,89.17580504,126.6107953
2021-05-21 16:15:00-07:00,17.73058247,14.05630486,17.95286051,38.31543168,5,21,16,15,0,0,0,0,0,1,0,2.1,21.84,1013,29,3.58,190,28.25613187,65.25420479,88.57122331,123.2868842
2021-05-21 16:30:00-07:00,17.70942887,14.05638886,17.96901818,38.35006348,5,21,16,30,0,0,0,0,0,1,0,2.1,21.84,1013,29,3.58,190,27.23289586,62.97907312,85.85060553,126.6107953
2021-05-21 16:45:00-07:00,17.68823655,14.05633062,17.98519367,38.38451219,5,21,16,45,0,0,0,0,0,1,0,2.1,21.84,1013,29,3.58,190,30.98943355,73.92230065,81.31624256,129.6325327
2021-05-21 17:00:00-07:00,17.66700549,14.05613001,18.00138643,38.41877801,5,21,17,0,0,0,0,0,0,1,0,2,20.43,1013,32,2.68,241,31.49804793,73.91061333,89.03112843,119.7006405
2021-05-21 17:15:00-07:00,17.64573566,14.05578687,18.0175959,38.45286115,5,21,17,15,0,0,0,0,0,1,0,2,20.43,1013,32,2.68,241,25.05626661,56.28613438,89.03112843,140.8784462
2021-05-21 17:30:00-07:00,17.62442706,14.05530105,18.03382155,38.48676182,5,21,17,30,0,0,0,0,0,1,0,2,20.43,1013,32,2.68,241,33.71272314,62.45898736,83.79400323,122.1560383
2021-05-21 17:45:00-07:00,17.60307966,14.0546724,18.05006282,38.52048022,5,21,17,45,0,0,0,0,0,1,0,2,20.43,1013,32,2.68,241,29.8560645,57.03801865,82.48472193,127.6806832
2021-05-21 18:00:00-07:00,17.58169345,14.05390078,18.06631915,38.55401655,5,21,18,0,0,0,0,0,0,1,0,2.2,18.95,1014,37,2.68,254,25.41069474,53.94477455,80.28804023,125.0019066
2021-05-21 18:15:00-07:00,17.5602684,14.05298603,18.08259001,38.58737102,5,21,18,15,0,0,0,0,0,1,0,2.2,18.95,1014,37,2.68,254,31.57413984,45.92142919,83.52546121,112.7221223
2021-05-21 18:30:00-07:00,17.5388045,14.05192801,18.09887484,38.62054383,5,21,18,30,0,0,0,0,0,1,0,2.2,18.95,1014,37,2.68,254,28.80479462,53.09549595,81.58300862,110.8329248
2021-05-21 18:45:00-07:00,17.51730173,14.05072667,18.11517309,38.6535352,5,21,18,45,0,0,0,0,0,1,0,2.2,18.95,1014,37,2.68,254,26.44194043,48.16149891,80.61178233,103.905867
2021-05-21 19:00:00-07:00,17.49576008,14.04938241,18.13148421,38.68634532,5,21,19,0,0,0,0,0,0,1,0,3.2,17.43,1014,45,3.13,284,36.75239489,42.85350763,74.75313253,96.2818881
2021-05-21 19:15:00-07:00,17.47417951,14.04789574,18.14780766,38.71897439,5,21,19,15,0,0,0,0,0,1,0,3.2,17.43,1014,45,3.13,284,35.07036309,34.50876096,75.66847701,100.3992057
2021-05-21 19:30:00-07:00,17.45256003,14.04626714,18.16414288,38.75142264,5,21,19,30,0,0,0,0,0,1,0,3.2,17.43,1014,45,3.13,284,29.72991212,38.97526519,73.53267322,93.43143746
2021-05-21 19:45:00-07:00,17.4309016,14.04449712,18.18048932,38.78369025,5,21,19,45,0,0,0,0,0,1,0,3.2,17.43,1014,45,3.13,284,27.07270235,36.89102641,72.31221392,94.69830441
2021-05-21 20:00:00-07:00,17.40920421,14.04258618,18.19684643,38.81577744,5,21,20,0,0,0,0,0,0,1,0,4.2,15.76,1016,54,1.79,261,30.16643942,45.43250963,67.70002654,84.45354364
2021-05-21 20:15:00-07:00,17.38746784,14.04053483,18.21321367,38.8476844,5,21,20,15,0,0,0,0,0,1,0,4.2,15.76,1016,54,1.79,261,16.48675396,36.08496769,67.93635449,82.60696413
2021-05-21 20:30:00-07:00,17.36569248,14.03834356,18.22959048,38.87941135,5,21,20,30,0,0,0,0,0,1,0,4.2,15.76,1016,54,1.79,261,14.80187987,28.28331503,67.13585965,84.15406299
2021-05-21 20:45:00-07:00,17.3438781,14.03601287,18.24597631,38.9109585,5,21,20,45,0,0,0,0,0,1,0,4.2,15.76,1016,54,1.79,261,21.59570875,24.87090534,65.84670268,85.93787996
2021-05-21 21:00:00-07:00,17.32202468,14.03354327,18.26237062,38.94232603,5,21,21,0,0,0,0,0,0,1,0,3.4,14.53,1017,63,1.34,173,20.12430907,27.05225063,58.16149847,84.3099116
2021-05-21 21:15:00-07:00,17.30013222,14.03093525,18.27877285,38.97351417,5,21,21,15,0,0,0,0,0,1,0,3.4,14.53,1017,63,1.34,173,17.96666765,25.92379799,58.6520005,84.43756633
2021-05-21 21:30:00-07:00,17.27820068,14.02818932,18.29518246,39.00452311,5,21,21,30,0,0,0,0,0,1,0,3.4,14.53,1017,63,1.34,173,15.3585523,21.72867625,58.91684261,81.99211334
2021-05-21 21:45:00-07:00,17.25623006,14.02530598,18.3115989,39.03535306,5,21,21,45,0,0,0,0,0,1,0,3.4,14.53,1017,63,1.34,173,17.26754549,23.15609547,57.7767625,76.5656266
